table,domain,kind,note,ddl_file,content_columns,world_db_rows,v17_rows_attested_snapshot,v17_rows_added_after_snapshot,v17_import_stages,v17_imported,empty_in_v17
spatial_v3_world_route_endpoint_bindings,places,spatial_structure,v3 world topology,13.sql,world_route_id world_route_version endpoint_role route_point_id route_point_version canonical_g5_id canonical_g5_version directional_exit_id directional_exit_version scene_endpoint_slot_key,0,172,0,p12:172,yes,
spatial_v3_world_route_points,places,spatial_structure,v3 world topology,13.sql,world_route_id world_route_version ordinal point_kind anchor_policy stable_label_id context_switch_phase,0,172,0,p12:172,yes,
spatial_v3_world_route_segment_spatial_contexts,places,spatial_structure,v3 world topology,13.sql,segment_id segment_version g0_id g0_version g1_id g1_version g2_id g2_version g3_id g3_version g4_corridor_id g4_corridor_version jurisdiction_profile_id jurisdiction_profile_version weather_scope_id event_pool_profile_id event_pool_profile_version,0,86,0,p12:86,yes,
spatial_v3_world_route_segments,places,spatial_structure,v3 world topology,13.sql,world_route_id world_route_version ordinal from_point_id from_point_version to_point_id to_point_version transition_environment_profile_id transition_environment_profile_version movement_orientation_profile_id movement_orientation_profile_version topological_orientation_profile_id topological_orientation_profile_version baseline_movement_method_id movement_method_cost_profile_id movement_method_cost_profile_version base_minutes dynamic_recheck_policy_id dynamic_recheck_policy_version capacity risk_profile_id risk_profile_version availability_condition_set_id availability_condition_set_version,0,86,0,p12:86,yes,
spatial_v3_world_routes,places,spatial_structure,v3 world topology,13.sql,route_kind_id reverse_route_id reverse_route_version availability_condition_set_id availability_condition_set_version risk_profile_id risk_profile_version,0,86,0,p12:86,yes,
property_profile_rules,property_ownership,content,,10.sql,property_profile_id owner_kind holder_kind controller_kind access_policy claim_conditions,0,19,0,gate1_item_container:19,yes,
property_profiles,property_ownership,content,,10.sql,region_id property_category_id,0,19,0,gate1_item_container:19,yes,
audit_log,provenance,provenance_infra,,08.sql,target_table target_record_id action_type old_value new_value reason changed_by changed_at notes,0,0,0,,no,EMPTY
catalog_import_tables,provenance,provenance_infra,,11.sql,import_id table_name payload_digest record_count dependency_order,0,0,0,,no,EMPTY
catalog_imports,provenance,provenance_infra,,11.sql,manifest_schema_version manifest_digest approval_status deletion_mode provenance validation_report imported_at,0,0,0,,no,EMPTY
record_sources,provenance,provenance_infra,,08.sql,source_id target_table target_record_id support_type summary page_or_section contradiction_notes,0,303,0,gate1_item_container:15; p12:288,yes,
source_records,provenance,provenance_infra,bibliographic sources,01.sql,title source_type author publication_year period_covered region_covered url file_reference page_or_section quote_short summary reliability_level bias_notes usefulness limitations checked_by checked_at,183,217,5,gate1_seed; gate1_item_container:17; p12:17; capacity_v2:3; additional_start_owners:2,yes,
spatial_v3_approved_physical_source_pairs,provenance,provenance_infra,,16.sql,source_payload_sha256,0,358,0,p12:358,yes,
spatial_v3_authoring_dependency_edges,provenance,provenance_infra,,12.sql,source_entity_kind source_entity_id source_version dependency_role target_entity_kind target_entity_id target_version canonical_ordinal target_registry_type target_registry_id target_registry_version target_registry_digest target_dependency_digest,0,4860,0,p12:4860,yes,
spatial_v3_authoring_versions,provenance,provenance_infra,,12.sql,entity_id,0,2760,457,p12:2760; capacity_v2:447; additional_start_owners:10,yes,
spatial_v3_controlled_vocabulary_bindings,provenance,provenance_infra,,12.sql,pseudo_type registry_id registry_path registry_version registry_digest,0,0,0,,no,EMPTY
spatial_v3_external_dependency_versions,provenance,provenance_infra,,19.sql,registry_type registry_id registry_version registry_digest dependency_id dependency_version dependency_digest approval_ref approval_digest,0,99,0,p12:99,yes,
spatial_v3_graph_node_migration_inventory,provenance,migration_evidence,,12.sql,legacy_graph_node_id legacy_scale_level target_spatial_level target_spatial_node_id target_spatial_node_version target_world_revision_id mapping_status source_digest mapping_digest reviewed_source_ref review_reason gap_code,0,0,0,,no,EMPTY
spatial_v3_migration_coverage_artifacts,provenance,migration_evidence,,17.sql,artifact_id party_id source_scope source_digest source_record_count inventory_digest inventory_target_digest target_digest acceptance_ok error_codes source_snapshot,0,0,0,,no,EMPTY
spatial_v3_world_revisions,provenance,provenance_infra,,12.sql,parent_revision_id catalog_digest,0,1,0,p12:1,yes,
world_revisions,provenance,provenance_infra,,09.sql,parent_revision_id title effective_from effective_to catalog_digest approved_at,0,9,0,gate1_item_container:1; appearance_v3:1,yes,
religious_context,religion,content,,05.sql,region_id title religion_type summary dominant_religion minority_religions religious_authority sacred_places monastery_presence church_presence ritual_calendar taboos oath_rules burial_rules hospitality_rules charity_rules conflict_rules role_effects law_effects npc_knowledge player_risks,0,0,0,,no,EMPTY
conflict_templates,risks_conflicts,content,,05.sql,region_id title conflict_type summary applies_to_place_types applies_to_roles applies_to_occupations trigger_conditions participants stakes visible_signs hidden_layers possible_escalation possible_resolution law_involvement authority_involvement rumor_effect relationship_effect economic_effect,0,0,0,,no,EMPTY
region_risks,risks_conflicts,content,,05.sql,region_id title risk_type summary applies_to_places applies_to_graph_edges applies_to_roles applies_to_occupations seasonality trigger_conditions visible_signs hidden_causes possible_consequences risk_level frequency avoidance_methods mitigation_methods npc_reactions law_consequences economic_consequences body_state_consequences item_consequences,0,0,0,,no,EMPTY
spatial_v3_acoustic_edge_templates,scenes_g5_g6,content,v3 scene templates (places interior),14.sql,scene_template_id scene_template_version edge_slot_key from_g6_scene_slot_key to_g6_scene_slot_key base_loss portal_template_id portal_template_version closed_extra_loss reverse_edge_slot_key condition_profile_id condition_profile_version,0,0,0,,no,EMPTY
spatial_v3_continuation_length_candidates,scenes_g5_g6,content,v3 G4->G5 expansion/capacity,14.sql,rule_id rule_version terminal_ordinal weight,0,4,0,p12:4,yes,
spatial_v3_continuation_length_rules,scenes_g5_g6,content,v3 G4->G5 expansion/capacity,14.sql,selection_kind,0,1,0,p12:1,yes,
spatial_v3_expansion_profile_template_limits,scenes_g5_g6,content,v3 G4->G5 expansion/capacity,14.sql,profile_id profile_version template_id template_version max_count,0,32,32,p12:32; capacity_v2:32,yes,
spatial_v3_expansion_rule_sets,scenes_g5_g6,content,v3 G4->G5 expansion/capacity,22.sql,rule_kind strategy,,3,0,p12:3,yes,
spatial_v3_expansion_slot_templates,scenes_g5_g6,content,v3 G4->G5 expansion/capacity,14.sql,slot_id slot_version template_id template_version selection_weight compatibility_rule_id compatibility_rule_version,0,86,86,p12:86; capacity_v2:86,yes,
spatial_v3_expansion_slots,scenes_g5_g6,content,v3 G4->G5 expansion/capacity,14.sql,profile_id profile_version g4_id g4_version continuation_role direction_context_id directional_exit_id directional_exit_version max_instances continuation_length_rule_id continuation_length_rule_version terminal_policy_id terminal_policy_version,0,86,0,p12:86,yes,
spatial_v3_g4_expansion_profiles,scenes_g5_g6,content,v3 G4->G5 expansion/capacity,14.sql,g4_id g4_version adjacency_rule_set_id adjacency_rule_set_version connectivity_rule_set_id connectivity_rule_set_version seed_policy_id seed_policy_version,0,32,0,p12:32,yes,
spatial_v3_g5_generation_templates,scenes_g5_g6,content,v3 G4->G5 expansion/capacity,14.sql,g5_class_id regional_template_id regional_template_version scene_materialization_profile_id scene_materialization_profile_version,0,25,25,p12:25; capacity_v2:25,yes,
spatial_v3_g5_successor_frontier_rules,scenes_g5_g6,content,v3 G4->G5 expansion/capacity,14.sql,g5_template_id g5_template_version ordinal source_expansion_slot_id source_expansion_slot_version successor_kind target_expansion_slot_id target_expansion_slot_version scene_endpoint_slot_key terminal_policy_id terminal_policy_version condition_rule_id condition_rule_version,0,86,86,p12:86; capacity_v2:86,yes,
spatial_v3_g6_acoustic_baselines,scenes_g5_g6,content,v3 scene templates (places interior),23.sql,g5_template_id g5_template_version canonical_g5_id canonical_g5_version scene_template_id scene_template_version g6_scene_slot_key ambient_noise directness,,71,75,p12:71; capacity_v2:71; additional_start_owners:4,yes,
spatial_v3_g6_template_slots,scenes_g5_g6,content,v3 scene templates (places interior),14.sql,scene_template_id scene_template_version scene_slot_key physical_class_id primary_scene_role_id vertical_context_id overhead_cover_id intra_g6_visibility_mode default_visibility_distance_band acoustic_uniformity enclosing_structure_slot_key,0,17,17,p12:17; capacity_v2:17,yes,
spatial_v3_local_movement_eligibility_profiles,scenes_g5_g6,content,v3 scene templates (places interior),25.sql,scene_template_id scene_template_version scene_template_digest edge_slot_key opposing_edge_slot_key from_position_slot_key to_position_slot_key eligibility_kind max_root_owners_per_transition directness,,68,68,p12:68; capacity_v2:68,yes,
spatial_v3_portal_state_template_behaviors,scenes_g5_g6,content,v3 scene templates (places interior),14.sql,portal_template_id portal_template_version relation_kind state behavior_id behavior_version,0,0,0,,no,EMPTY
spatial_v3_portal_templates,scenes_g5_g6,content,v3 scene templates (places interior),14.sql,scene_template_id scene_template_version portal_slot_key portal_class_id default_state controlling_structure_slot_key,0,0,0,,no,EMPTY
spatial_v3_regional_scene_template_bases,scenes_g5_g6,content,v3 scene templates (places interior),15.sql,source_profile_family_id geometry_claim,0,17,0,p12:17; capacity_v2:0,yes,
spatial_v3_scene_applicability_rules,scenes_g5_g6,content,v3 scene templates (places interior),15.sql,rule_kind,0,1,0,p12:1; capacity_v2:0,yes,
spatial_v3_scene_endpoint_slots,scenes_g5_g6,content,v3 scene templates (places interior),14.sql,scene_template_id scene_template_version slot_key endpoint_role required_position_slot_key required_position_instance_ordinal,0,34,34,p12:34; capacity_v2:34,yes,
spatial_v3_scene_materialization_candidates,scenes_g5_g6,content,v3 scene templates (places interior),14.sql,profile_id profile_version scene_template_id scene_template_version weight applicability_rule_id applicability_rule_version,0,220,220,p12:220; capacity_v2:220,yes,
spatial_v3_scene_materialization_profiles,scenes_g5_g6,content,v3 scene templates (places interior),14.sql,source_kind source_entity_id source_entity_version selection_rule_id selection_rule_version,0,220,220,p12:220; capacity_v2:220,yes,
spatial_v3_scene_movement_edge_templates,scenes_g5_g6,content,v3 scene templates (places interior),14.sql,scene_template_id scene_template_version edge_slot_key from_position_slot_key to_position_slot_key passage_type_id transition_environment_profile_id transition_environment_profile_version movement_orientation_profile_id movement_orientation_profile_version cost_kind action_units baseline_movement_method_id movement_method_cost_profile_id movement_method_cost_profile_version base_minutes dynamic_recheck_policy_id dynamic_recheck_policy_version capacity portal_template_id portal_template_version availability_condition_set_id availability_condition_set_version reverse_edge_slot_key,0,68,68,p12:68; capacity_v2:68,yes,
spatial_v3_scene_position_templates,scenes_g5_g6,content,v3 scene templates (places interior),14.sql,scene_template_id scene_template_version position_slot_key g6_scene_slot_key instance_count position_type_id capacity access_class_id,0,51,51,p12:51; capacity_v2:51,yes,
spatial_v3_scene_selection_rules,scenes_g5_g6,content,v3 scene templates (places interior),15.sql,rule_kind,0,1,0,p12:1,yes,
spatial_v3_scene_templates,scenes_g5_g6,content,v3 scene templates (places interior),14.sql,regional_template_id regional_template_version,0,17,17,p12:17; capacity_v2:17,yes,
spatial_v3_stable_structure_templates,scenes_g5_g6,content,v3 scene templates (places interior),14.sql,scene_template_id scene_template_version structure_slot_key structure_class_id material_profile_id material_profile_version state_profile_id state_profile_version evidence_ref,0,0,0,,no,EMPTY
spatial_v3_terminal_policies,scenes_g5_g6,content,v3 G4->G5 expansion/capacity,14.sql,policy_kind target_directional_exit_id target_directional_exit_version,0,86,0,p12:86,yes,
spatial_v3_visibility_link_templates,scenes_g5_g6,content,v3 scene templates (places interior),14.sql,scene_template_id scene_template_version link_slot_key from_position_slot_key to_position_slot_key quality distance_band portal_template_id portal_template_version condition_profile_id condition_profile_version reverse_link_slot_key stable_asymmetry_evidence_ref,0,0,0,,no,EMPTY
region_activity_profiles,time_calendar_schedules,content,,09.sql,region_id activity_option_id presence_reason graph_node_id,0,0,0,,no,EMPTY
region_schedule_profiles,time_calendar_schedules,content,,09.sql,region_id activity_profile_id time_band place_id route_template_id fallback_activity_profile_id,0,0,0,,no,EMPTY
seasonal_rules,time_calendar_schedules,content,per-season effects incl. food/disease/clothing,05.sql,region_id season title weather_profile daylight_profile road_effects river_effects forest_effects field_effects food_effects work_effects trade_effects war_effects disease_effects clothing_requirements shelter_requirements available_occupations restricted_occupations available_graph_edges restricted_graph_edges common_risks common_scenes,0,0,0,,no,EMPTY
temporal_authoring_records,time_calendar_schedules,content,"JSON payload families: calendar, activity, weather transition, body-time effects, place access schedule, npc schedule/reaction, historical phase effects",18.sql,record_id family_id record_kind record_version applicability provenance_refs normalized_reference_ids source_history_refs payload,0,0,0,,no,EMPTY
temporal_normalized_references,time_calendar_schedules,provenance_infra,,18.sql,reference_id family_id source_record_id target_table target_record_id binding,0,0,0,,no,EMPTY
temporal_provenance,time_calendar_schedules,provenance_infra,,18.sql,provenance_id family_id source_ids approval,0,0,0,,no,EMPTY
temporal_source_history,time_calendar_schedules,provenance_infra,,18.sql,source_id family_id source_path source_sha256 metadata,0,0,0,,no,EMPTY
route_templates,transport_movement,content,,01.sql,title summary route_kind default_edge_type surface_type requires_landscape_template requires_water_body_template supports_pedestrian supports_horse supports_cart supports_sled supports_boat seasonal_availability default_access_rule default_orientation_difficulty default_risk_level default_movement_multiplier,21,21,0,gate1_seed,yes,
spatial_v3_action_contracts,transport_movement,content,v3 movement cost/risk/check rules,13.sql,action_kind_id cost_kind failure_location_policy failure_execution_transition,0,0,0,,no,EMPTY
spatial_v3_activity_contracts,transport_movement,content,v3 movement cost/risk/check rules,13.sql,activity_kind_id cost_kind interruption_policy_id interruption_policy_version failure_time_retention_policy failure_execution_transition,0,0,0,,no,EMPTY
spatial_v3_dynamic_recheck_policies,transport_movement,content,v3 movement cost/risk/check rules,13.sql,policy_kind progress_slice_ppm interval_minutes event_triggers definition,0,4,0,p12:4,yes,
spatial_v3_dynamic_recheck_policy_points,transport_movement,content,v3 movement cost/risk/check rules,13.sql,policy_id policy_version ordinal progress_ppm,0,0,0,,no,EMPTY
spatial_v3_g4_traversal_profiles,transport_movement,content,v3 movement cost/risk/check rules,16.sql,g4_id g4_version traversal_model,0,32,0,p12:32,yes,
spatial_v3_movement_method_cost_options,transport_movement,content,v3 movement cost/risk/check rules,13.sql,profile_id profile_version movement_method_id cost_mode factor_numerator factor_denominator,0,0,0,,no,EMPTY
spatial_v3_movement_method_cost_profiles,transport_movement,content,v3 movement cost/risk/check rules,13.sql,baseline_movement_method_id base_minutes dynamic_modifiers_required calibration_kind distance_derived measured_historical_duration definition,0,9,0,p12:9,yes,
spatial_v3_movement_mode_transition_contracts,transport_movement,content,v3 movement cost/risk/check rules,13.sql,transition_kind cost_kind source_carrier_kind target_carrier_kind,0,0,0,,no,EMPTY
spatial_v3_recovery_transition_templates,transport_movement,content,v3 movement cost/risk/check rules,13.sql,source_selector_kind target_selector_kind target_selector_value required_cost_contract_id required_cost_contract_version,0,0,0,,no,EMPTY
spatial_v3_transition_environment_profiles,transport_movement,content,v3 movement cost/risk/check rules,13.sql,environment_class_id permanent_cost_basis_id dynamic_environment_rule_set_id dynamic_environment_rule_set_version definition,0,8,0,p12:8,yes,
spatial_v3_traversal_availability_policies,transport_movement,content,v3 movement cost/risk/check rules,20.sql,scenario_id season_mode daylight_required fallback_behavior unsupported_state_behavior,0,0,0,,no,EMPTY
spatial_v3_traversal_availability_values,transport_movement,content,v3 movement cost/risk/check rules,20.sql,policy_id policy_version dimension_id value_id disposition canonical_ordinal,0,0,0,,no,EMPTY
spatial_v3_traversal_check_policies,transport_movement,content,v3 movement cost/risk/check rules,20.sql,activation_domain characteristic_id modifier_skill_id one_factor_dc two_factor_dc maximum_factor_count identity_scope_kind,0,0,0,,no,EMPTY
spatial_v3_traversal_check_triggers,transport_movement,content,v3 movement cost/risk/check rules,20.sql,check_policy_id check_policy_version trigger_id canonical_ordinal,0,0,0,,no,EMPTY
spatial_v3_traversal_consequence_policies,transport_movement,content,v3 movement cost/risk/check rules,20.sql,pre_progress_elapsed_minutes pre_progress_progress_ppm positive_progress_delay_minutes positive_progress_energy_delta condition_candidate_id first_failure_state repeated_failure_state preserves_committed_elapsed preserves_committed_progress fatality_allowed craft_destruction_allowed inventory_wipe_allowed,0,0,0,,no,EMPTY
spatial_v3_traversal_risk_check_bindings,transport_movement,content,v3 movement cost/risk/check rules,20.sql,risk_profile_id risk_profile_version check_domain check_policy_id check_policy_version canonical_ordinal,0,0,0,,no,EMPTY
spatial_v3_traversal_risk_hazards,transport_movement,content,v3 movement cost/risk/check rules,20.sql,risk_profile_id risk_profile_version hazard_class_id canonical_ordinal,0,0,0,,no,EMPTY
spatial_v3_traversal_risk_profiles,transport_movement,content,v3 movement cost/risk/check rules,20.sql,environment_profile_id environment_profile_version activation_kind severity_band random_draw_allowed mixed_check_domain_behavior consequence_policy_id consequence_policy_version,0,0,0,,no,EMPTY
transport_templates,transport_movement,content,,10.sql,region_id category_id route_category_id equipment_profile_id,0,0,0,,no,EMPTY
weather_profiles,weather,content,,08.sql,region_id seasonal_rule_id title weather_type summary temperature_band precipitation wind visibility ground_condition water_condition road_modifier movement_modifier body_state_risk npc_activity_effect trade_effect combat_effect stealth_effect fire_effect visible_description sound_description smell_description,0,0,0,,no,EMPTY
