pgl_id,scope_kind,scope_ref,scale_class,region_id,households_min,households_max,households_basis,household_estimate_text,household_kind_count,household_mix,residents_min,residents_max,residents_basis,npc_present_min,npc_present_max,g4_zones_min,g4_zones_max,items_notable_max,items_basis,containers_max,g5_anchor_max,rule_ref,v6_row_count,source_refs,gaps,confidence,status
pgl_pf_outbuildings,place_family,pf_outbuildings,,,,,,,,,,,,,,,,20,"R4 max of MASTER spawn profiles SPN003:12,SPN007:20,SPN009:16,SPN018:18,SPN019:16,SPN020:16,SPN026:18,SPN032:16,SPN038:14,SPN044:12",,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,containers_max: no sourced basis,C,candidate
pgl_pf_cellar_granary,place_family,pf_cellar_granary,,,,,,,,,,,,,,,,20,"R4 max of MASTER spawn profiles SPN003:12,SPN007:20,SPN009:16,SPN018:18,SPN019:16,SPN026:18,SPN032:16,SPN038:14,SPN044:12",,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,containers_max: no sourced basis,C,candidate
pgl_pf_bathhouse,place_family,pf_bathhouse,,,,,,,,,,,,,,,,12,R4 max of MASTER spawn profiles SPN021:12,,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,containers_max: no sourced basis,C,candidate
pgl_pf_smithy,place_family,pf_smithy,,,,,,,,,,,,,,,,18,"R4 max of MASTER spawn profiles SPN008:18,SPN009:16",,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,containers_max: no sourced basis,C,candidate
pgl_pf_mill,place_family,pf_mill,,,,,,,,,,,,,,,,,,,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,items_notable_max: no MASTER spawn profile maps to this family;containers_max: no sourced basis,C,candidate
pgl_pf_threshing_barn,place_family,pf_threshing_barn,,,,,,,,,,,,,,,,18,"R4 max of MASTER spawn profiles SPN037:18,SPN038:14",,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,containers_max: no sourced basis,C,candidate
pgl_pf_churchyard,place_family,pf_churchyard,,,,,,,,,,,,,,,,20,"R4 max of MASTER spawn profiles SPN030:20,SPN031:14",,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,containers_max: no sourced basis,C,candidate
pgl_pf_monastery_yard,place_family,pf_monastery_yard,,,,,,,,,,,,,,,,16,"R4 max of MASTER spawn profiles SPN032:16,SPN033:14",,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,containers_max: no sourced basis,C,candidate
pgl_pf_road,place_family,pf_road,,,,,,,,,,,,,,,,16,"R4 max of MASTER spawn profiles SPN034:10,SPN035:16,SPN036:14",,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,containers_max: no sourced basis,C,candidate
pgl_pf_bridge_crossing,place_family,pf_bridge_crossing,,,,,,,,,,,,,,,,,,,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,items_notable_max: no MASTER spawn profile maps to this family;containers_max: no sourced basis,C,candidate
pgl_pf_ferry_landing,place_family,pf_ferry_landing,,,,,,,,,,,,,,,,18,"R4 max of MASTER spawn profiles SPN022:18,SPN023:12,SPN024:18",,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,containers_max: no sourced basis,C,candidate
pgl_pf_forest_track,place_family,pf_forest_track,,,,,,,,,,,,,,,,,,,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,items_notable_max: no MASTER spawn profile maps to this family;containers_max: no sourced basis,C,candidate
pgl_pf_hunting_ground,place_family,pf_hunting_ground,,,,,,,,,,,,,,,,14,R4 max of MASTER spawn profiles SPN027:14,,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,containers_max: no sourced basis,C,candidate
pgl_pf_orchard_garden,place_family,pf_orchard_garden,,,,,,,,,,,,,,,,18,"R4 max of MASTER spawn profiles SPN037:18,SPN038:14",,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,containers_max: no sourced basis,C,candidate
pgl_pf_pasture,place_family,pf_pasture,,,,,,,,,,,,,,,,,,,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,items_notable_max: no MASTER spawn profile maps to this family;containers_max: no sourced basis,C,candidate
pgl_pf_winter_ice_crossing,place_family,pf_winter_ice_crossing,,,,,,,,,,,,,,,,,,,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,items_notable_max: no MASTER spawn profile maps to this family;containers_max: no sourced basis,C,candidate
pgl_pf_field_margin,place_family,pf_field_margin,,,,,,,,,,,,,,,,,,,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,items_notable_max: no MASTER spawn profile maps to this family;containers_max: no sourced basis,C,candidate
pgl_pf_fishing_camp,place_family,pf_fishing_camp,,,,,,,,,,,,,,,,18,"R4 max of MASTER spawn profiles SPN023:12,SPN024:18,SPN025:18,SPN026:18",,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,containers_max: no sourced basis,C,candidate
pgl_pf_dwelling_interior,place_family,pf_dwelling_interior,,,,,,,,,,,,,,,,18,"R4 max of MASTER spawn profiles SPN001:14,SPN002:10,SPN003:12,SPN015:14,SPN016:16,SPN017:18,SPN018:18,SPN021:12,SPN033:14,SPN042:14,SPN043:8,SPN045:14",,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,containers_max: no sourced basis,C,candidate
pgl_pf_church_interior,place_family,pf_church_interior,,,,,,,,,,,,,,,,20,"R4 max of MASTER spawn profiles SPN030:20,SPN031:14,SPN033:14",,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,containers_max: no sourced basis,C,candidate
pgl_pf_ordinary_workshop,place_family,pf_ordinary_workshop,,,,,,,,,,,,,,,,20,"R4 max of MASTER spawn profiles SPN008:18,SPN009:16,SPN010:14,SPN011:18,SPN012:16,SPN013:16,SPN014:20,SPN015:14,SPN016:16,SPN018:18,SPN024:18,SPN031:14,SPN039:20",,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,containers_max: no sourced basis,C,candidate
pgl_pf_grain_drying_shed_ovin,place_family,pf_grain_drying_shed_ovin,,,,,,,,,,,,,,,,,,,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,items_notable_max: no MASTER spawn profile maps to this family;containers_max: no sourced basis,C,candidate
pgl_g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,g4,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,,region_novgorod_land,,,,,,,,,,0,2,,,18,R4 via primary pf_river_channel,,6,scripts/build-generation-limits.mjs R5,,pr98:data/world-catalogs/novgorod/m2c-npc/candidate.json#g4_compositions[g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split] (candidate_approval_pending); pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_central_current_split,households/residents: no v17 node-level source (v17 start territory is not in the v6 graph);containers_max: no sourced basis,C,candidate
pgl_g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach,g4,g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach,,region_novgorod_land,,,,,,,,,,0,2,,,18,R4 via primary pf_river_channel,,6,scripts/build-generation-limits.mjs R5,,pr98:data/world-catalogs/novgorod/m2c-npc/candidate.json#g4_compositions[g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach] (candidate_approval_pending); pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_central_navigation_reach,households/residents: no v17 node-level source (v17 start territory is not in the v6 graph);containers_max: no sourced basis,C,candidate
pgl_g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet,g4,g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet,,region_novgorod_land,,,,,,,,,,0,2,,,18,R4 via primary pf_riverbank,,6,scripts/build-generation-limits.mjs R5,,pr98:data/world-catalogs/novgorod/m2c-npc/candidate.json#g4_compositions[g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet] (candidate_approval_pending); pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_channel_split_islet,households/residents: no v17 node-level source (v17 start territory is not in the v6 graph);containers_max: no sourced basis,C,candidate
pgl_g4v3__gn_nov_g3_xp017_yp026_r2_driftwood_bar,g4,g4v3__gn_nov_g3_xp017_yp026_r2_driftwood_bar,,region_novgorod_land,,,,,,,,,,0,2,,,18,R4 via primary pf_riverbank,,5,scripts/build-generation-limits.mjs R5,,pr98:data/world-catalogs/novgorod/m2c-npc/candidate.json#g4_compositions[g4v3__gn_nov_g3_xp017_yp026_r2_driftwood_bar] (candidate_approval_pending); pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_driftwood_bar,households/residents: no v17 node-level source (v17 start territory is not in the v6 graph);containers_max: no sourced basis,C,candidate
pgl_g4v3__gn_nov_g3_xp017_yp026_r2_dry_island_ridge,g4,g4v3__gn_nov_g3_xp017_yp026_r2_dry_island_ridge,,region_novgorod_land,,,,,,,,,,0,2,,,,,,6,scripts/build-generation-limits.mjs R5,,pr98:data/world-catalogs/novgorod/m2c-npc/candidate.json#g4_compositions[g4v3__gn_nov_g3_xp017_yp026_r2_dry_island_ridge] (candidate_approval_pending); pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_dry_island_ridge,households/residents: no v17 node-level source (v17 start territory is not in the v6 graph);containers_max: no sourced basis;items_notable_max: primary pf gap or unmapped,C,candidate
pgl_g4v3__gn_nov_g3_xp017_yp026_r2_dry_pine_ridge,g4,g4v3__gn_nov_g3_xp017_yp026_r2_dry_pine_ridge,,region_novgorod_land,,,,,,,,,,0,2,,,16,R4 via primary pf_conifer_woodland,,6,scripts/build-generation-limits.mjs R5,,pr98:data/world-catalogs/novgorod/m2c-npc/candidate.json#g4_compositions[g4v3__gn_nov_g3_xp017_yp026_r2_dry_pine_ridge] (candidate_approval_pending); pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_dry_pine_ridge,households/residents: no v17 node-level source (v17 start territory is not in the v6 graph);containers_max: no sourced basis,C,candidate
pgl_g4v3__gn_nov_g3_xp017_yp026_r2_east_flood_bypass,g4,g4v3__gn_nov_g3_xp017_yp026_r2_east_flood_bypass,,region_novgorod_land,,,,,,,,,,0,2,,,18,R4 via primary pf_river_channel,,6,scripts/build-generation-limits.mjs R5,,pr98:data/world-catalogs/novgorod/m2c-npc/candidate.json#g4_compositions[g4v3__gn_nov_g3_xp017_yp026_r2_east_flood_bypass] (candidate_approval_pending); pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_east_flood_bypass,households/residents: no v17 node-level source (v17 start territory is not in the v6 graph);containers_max: no sourced basis,C,candidate
pgl_g4v3__gn_nov_g3_xp017_yp026_r2_east_side_channel,g4,g4v3__gn_nov_g3_xp017_yp026_r2_east_side_channel,,region_novgorod_land,,,,,,,,,,0,2,,,18,R4 via primary pf_river_channel,,6,scripts/build-generation-limits.mjs R5,,pr98:data/world-catalogs/novgorod/m2c-npc/candidate.json#g4_compositions[g4v3__gn_nov_g3_xp017_yp026_r2_east_side_channel] (candidate_approval_pending); pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_east_side_channel,households/residents: no v17 node-level source (v17 start territory is not in the v6 graph);containers_max: no sourced basis,C,candidate
pgl_g4v3__gn_nov_g3_xp017_yp026_r2_flooded_interior_basin,g4,g4v3__gn_nov_g3_xp017_yp026_r2_flooded_interior_basin,,region_novgorod_land,,,,,,,,,,0,2,,,,,,6,scripts/build-generation-limits.mjs R5,,pr98:data/world-catalogs/novgorod/m2c-npc/candidate.json#g4_compositions[g4v3__gn_nov_g3_xp017_yp026_r2_flooded_interior_basin] (candidate_approval_pending); pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_flooded_interior_basin,households/residents: no v17 node-level source (v17 start territory is not in the v6 graph);containers_max: no sourced basis;items_notable_max: primary pf gap or unmapped,C,candidate
pgl_g4v3__gn_nov_g3_xp017_yp026_r2_floodplain_ridge_route,g4,g4v3__gn_nov_g3_xp017_yp026_r2_floodplain_ridge_route,,region_novgorod_land,,,,,,,,,,0,2,,,16,R4 via primary pf_road,,6,scripts/build-generation-limits.mjs R5,,pr98:data/world-catalogs/novgorod/m2c-npc/candidate.json#g4_compositions[g4v3__gn_nov_g3_xp017_yp026_r2_floodplain_ridge_route] (candidate_approval_pending); pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_floodplain_ridge_route,households/residents: no v17 node-level source (v17 start territory is not in the v6 graph);containers_max: no sourced basis,C,candidate
pgl_g4v3__gn_nov_g3_xp017_yp026_r2_forest_stream_route,g4,g4v3__gn_nov_g3_xp017_yp026_r2_forest_stream_route,,region_novgorod_land,,,,,,,,,,0,2,,,,,,6,scripts/build-generation-limits.mjs R5,,pr98:data/world-catalogs/novgorod/m2c-npc/candidate.json#g4_compositions[g4v3__gn_nov_g3_xp017_yp026_r2_forest_stream_route] (candidate_approval_pending); pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_forest_stream_route,households/residents: no v17 node-level source (v17 start territory is not in the v6 graph);containers_max: no sourced basis;items_notable_max: primary pf gap or unmapped,C,candidate
pgl_g4v3__gn_nov_g3_xp017_yp026_r2_large_island_head,g4,g4v3__gn_nov_g3_xp017_yp026_r2_large_island_head,,region_novgorod_land,,,,,,,,,,0,2,,,18,R4 via primary pf_riverbank,,6,scripts/build-generation-limits.mjs R5,,pr98:data/world-catalogs/novgorod/m2c-npc/candidate.json#g4_compositions[g4v3__gn_nov_g3_xp017_yp026_r2_large_island_head] (candidate_approval_pending); pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_large_island_head,households/residents: no v17 node-level source (v17 start territory is not in the v6 graph);containers_max: no sourced basis,C,candidate
pgl_g4v3__gn_nov_g3_xp017_yp026_r2_mixing_reach,g4,g4v3__gn_nov_g3_xp017_yp026_r2_mixing_reach,,region_novgorod_land,,,,,,,,,,0,2,,,18,R4 via primary pf_river_channel,,6,scripts/build-generation-limits.mjs R5,,pr98:data/world-catalogs/novgorod/m2c-npc/candidate.json#g4_compositions[g4v3__gn_nov_g3_xp017_yp026_r2_mixing_reach] (candidate_approval_pending); pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_mixing_reach,households/residents: no v17 node-level source (v17 start territory is not in the v6 graph);containers_max: no sourced basis,C,candidate
pgl_g4v3__gn_nov_g3_xp017_yp026_r2_north_exposed_turn,g4,g4v3__gn_nov_g3_xp017_yp026_r2_north_exposed_turn,,region_novgorod_land,,,,,,,,,,0,2,,,18,R4 via primary pf_river_channel,,6,scripts/build-generation-limits.mjs R5,,pr98:data/world-catalogs/novgorod/m2c-npc/candidate.json#g4_compositions[g4v3__gn_nov_g3_xp017_yp026_r2_north_exposed_turn] (candidate_approval_pending); pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_north_exposed_turn,households/residents: no v17 node-level source (v17 start territory is not in the v6 graph);containers_max: no sourced basis,C,candidate
pgl_g4v3__gn_nov_g3_xp017_yp026_r2_north_outflow_reach,g4,g4v3__gn_nov_g3_xp017_yp026_r2_north_outflow_reach,,region_novgorod_land,,,,,,,,,,0,2,,,18,R4 via primary pf_river_channel,,6,scripts/build-generation-limits.mjs R5,,pr98:data/world-catalogs/novgorod/m2c-npc/candidate.json#g4_compositions[g4v3__gn_nov_g3_xp017_yp026_r2_north_outflow_reach] (candidate_approval_pending); pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_north_outflow_reach,households/residents: no v17 node-level source (v17 start territory is not in the v6 graph);containers_max: no sourced basis,C,candidate
pgl_g4v3__gn_nov_g3_xp017_yp026_r2_old_channel_pool,g4,g4v3__gn_nov_g3_xp017_yp026_r2_old_channel_pool,,region_novgorod_land,,,,,,,,,,0,2,,,,,,6,scripts/build-generation-limits.mjs R5,,pr98:data/world-catalogs/novgorod/m2c-npc/candidate.json#g4_compositions[g4v3__gn_nov_g3_xp017_yp026_r2_old_channel_pool] (candidate_approval_pending); pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_old_channel_pool,households/residents: no v17 node-level source (v17 start territory is not in the v6 graph);containers_max: no sourced basis;items_notable_max: primary pf gap or unmapped,C,candidate
pgl_g4v3__gn_nov_g3_xp017_yp026_r2_outer_exposed_approach,g4,g4v3__gn_nov_g3_xp017_yp026_r2_outer_exposed_approach,,region_novgorod_land,,,,,,,,,,0,2,,,18,R4 via primary pf_river_channel,,6,scripts/build-generation-limits.mjs R5,,pr98:data/world-catalogs/novgorod/m2c-npc/candidate.json#g4_compositions[g4v3__gn_nov_g3_xp017_yp026_r2_outer_exposed_approach] (candidate_approval_pending); pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_outer_exposed_approach,households/residents: no v17 node-level source (v17 start territory is not in the v6 graph);containers_max: no sourced basis,C,candidate
pgl_g4v3__gn_nov_g3_xp017_yp026_r2_reed_backwater,g4,g4v3__gn_nov_g3_xp017_yp026_r2_reed_backwater,,region_novgorod_land,,,,,,,,,,0,2,,,,,,6,scripts/build-generation-limits.mjs R5,,pr98:data/world-catalogs/novgorod/m2c-npc/candidate.json#g4_compositions[g4v3__gn_nov_g3_xp017_yp026_r2_reed_backwater] (candidate_approval_pending); pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_reed_backwater,households/residents: no v17 node-level source (v17 start territory is not in the v6 graph);containers_max: no sourced basis;items_notable_max: primary pf gap or unmapped,C,candidate
pgl_g4v3__gn_nov_g3_xp017_yp026_r2_sheltered_inner_reach,g4,g4v3__gn_nov_g3_xp017_yp026_r2_sheltered_inner_reach,,region_novgorod_land,,,,,,,,,,0,2,,,18,R4 via primary pf_river_channel,,6,scripts/build-generation-limits.mjs R5,,pr98:data/world-catalogs/novgorod/m2c-npc/candidate.json#g4_compositions[g4v3__gn_nov_g3_xp017_yp026_r2_sheltered_inner_reach] (candidate_approval_pending); pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_sheltered_inner_reach,households/residents: no v17 node-level source (v17 start territory is not in the v6 graph);containers_max: no sourced basis,C,candidate
pgl_g4v3__gn_nov_g3_xp017_yp026_r2_sheltered_landing_terrace,g4,g4v3__gn_nov_g3_xp017_yp026_r2_sheltered_landing_terrace,,region_novgorod_land,,,,,,,,,,0,2,,,18,R4 via primary pf_ferry_landing,,6,scripts/build-generation-limits.mjs R5,,pr98:data/world-catalogs/novgorod/m2c-npc/candidate.json#g4_compositions[g4v3__gn_nov_g3_xp017_yp026_r2_sheltered_landing_terrace] (candidate_approval_pending); pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_sheltered_landing_terrace,households/residents: no v17 node-level source (v17 start territory is not in the v6 graph);containers_max: no sourced basis,C,candidate
pgl_g4v3__gn_nov_g3_xp017_yp026_r2_shifting_shoal_field,g4,g4v3__gn_nov_g3_xp017_yp026_r2_shifting_shoal_field,,region_novgorod_land,,,,,,,,,,0,2,,,18,R4 via primary pf_riverbank,,6,scripts/build-generation-limits.mjs R5,,pr98:data/world-catalogs/novgorod/m2c-npc/candidate.json#g4_compositions[g4v3__gn_nov_g3_xp017_yp026_r2_shifting_shoal_field] (candidate_approval_pending); pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_shifting_shoal_field,households/residents: no v17 node-level source (v17 start territory is not in the v6 graph);containers_max: no sourced basis,C,candidate
pgl_g4v3__gn_nov_g3_xp017_yp026_r2_south_entry_reach,g4,g4v3__gn_nov_g3_xp017_yp026_r2_south_entry_reach,,region_novgorod_land,,,,,,,,,,0,2,,,18,R4 via primary pf_river_channel,,6,scripts/build-generation-limits.mjs R5,,pr98:data/world-catalogs/novgorod/m2c-npc/candidate.json#g4_compositions[g4v3__gn_nov_g3_xp017_yp026_r2_south_entry_reach] (candidate_approval_pending); pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_south_entry_reach,households/residents: no v17 node-level source (v17 start territory is not in the v6 graph);containers_max: no sourced basis,C,candidate
pgl_g4v3__gn_nov_g3_xp017_yp026_r2_tributary_mouth,g4,g4v3__gn_nov_g3_xp017_yp026_r2_tributary_mouth,,region_novgorod_land,,,,,,,,,,0,2,,,18,R4 via primary pf_river_channel,,6,scripts/build-generation-limits.mjs R5,,pr98:data/world-catalogs/novgorod/m2c-npc/candidate.json#g4_compositions[g4v3__gn_nov_g3_xp017_yp026_r2_tributary_mouth] (candidate_approval_pending); pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_tributary_mouth,households/residents: no v17 node-level source (v17 start territory is not in the v6 graph);containers_max: no sourced basis,C,candidate
pgl_g4v3__gn_nov_g3_xp017_yp026_r2_vikhtuy_locality,g4,g4v3__gn_nov_g3_xp017_yp026_r2_vikhtuy_locality,,region_novgorod_land,,,,,,,,,,0,2,,,20,R4 via primary pf_peasant_homestead,,8,scripts/build-generation-limits.mjs R5,,pr98:data/world-catalogs/novgorod/m2c-npc/candidate.json#g4_compositions[g4v3__gn_nov_g3_xp017_yp026_r2_vikhtuy_locality] (candidate_approval_pending); pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_vikhtuy_locality,households/residents: no v17 node-level source (v17 start territory is not in the v6 graph);containers_max: no sourced basis,C,candidate
pgl_g4v3__gn_nov_g3_xp017_yp026_r2_vikhtuy_resource_edge,g4,g4v3__gn_nov_g3_xp017_yp026_r2_vikhtuy_resource_edge,,region_novgorod_land,,,,,,,,,,0,2,,,16,R4 via primary pf_forest_edge,,6,scripts/build-generation-limits.mjs R5,,pr98:data/world-catalogs/novgorod/m2c-npc/candidate.json#g4_compositions[g4v3__gn_nov_g3_xp017_yp026_r2_vikhtuy_resource_edge] (candidate_approval_pending); pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_vikhtuy_resource_edge,households/residents: no v17 node-level source (v17 start territory is not in the v6 graph);containers_max: no sourced basis,C,candidate
pgl_g4v3__gn_nov_g3_xp017_yp026_r2_vikhtuy_river_approach,g4,g4v3__gn_nov_g3_xp017_yp026_r2_vikhtuy_river_approach,,region_novgorod_land,,,,,,,,,,0,2,,,18,R4 via primary pf_ferry_landing,,6,scripts/build-generation-limits.mjs R5,,pr98:data/world-catalogs/novgorod/m2c-npc/candidate.json#g4_compositions[g4v3__gn_nov_g3_xp017_yp026_r2_vikhtuy_river_approach] (candidate_approval_pending); pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_vikhtuy_river_approach,households/residents: no v17 node-level source (v17 start territory is not in the v6 graph);containers_max: no sourced basis,C,candidate
pgl_g4v3__gn_nov_g3_xp017_yp026_r2_west_hidden_backwater,g4,g4v3__gn_nov_g3_xp017_yp026_r2_west_hidden_backwater,,region_novgorod_land,,,,,,,,,,0,2,,,18,R4 via primary pf_river_channel,,6,scripts/build-generation-limits.mjs R5,,pr98:data/world-catalogs/novgorod/m2c-npc/candidate.json#g4_compositions[g4v3__gn_nov_g3_xp017_yp026_r2_west_hidden_backwater] (candidate_approval_pending); pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_west_hidden_backwater,households/residents: no v17 node-level source (v17 start territory is not in the v6 graph);containers_max: no sourced basis,C,candidate
pgl_g4v3__gn_nov_g3_xp017_yp026_r2_west_side_channel,g4,g4v3__gn_nov_g3_xp017_yp026_r2_west_side_channel,,region_novgorod_land,,,,,,,,,,0,2,,,18,R4 via primary pf_river_channel,,6,scripts/build-generation-limits.mjs R5,,pr98:data/world-catalogs/novgorod/m2c-npc/candidate.json#g4_compositions[g4v3__gn_nov_g3_xp017_yp026_r2_west_side_channel] (candidate_approval_pending); pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_west_side_channel,households/residents: no v17 node-level source (v17 start territory is not in the v6 graph);containers_max: no sourced basis,C,candidate
pgl_g4v3__gn_nov_g3_xp017_yp026_r2_wet_conifer_tract,g4,g4v3__gn_nov_g3_xp017_yp026_r2_wet_conifer_tract,,region_novgorod_land,,,,,,,,,,0,2,,,16,R4 via primary pf_conifer_woodland,,6,scripts/build-generation-limits.mjs R5,,pr98:data/world-catalogs/novgorod/m2c-npc/candidate.json#g4_compositions[g4v3__gn_nov_g3_xp017_yp026_r2_wet_conifer_tract] (candidate_approval_pending); pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_wet_conifer_tract,households/residents: no v17 node-level source (v17 start territory is not in the v6 graph);containers_max: no sourced basis,C,candidate
