source_kind,source_id,source_name_ru,source_category,source_confidence,period,mapping,target
costume_catalog,AR003,Кольчуга средней длины,armor_and_weapons/mail_armor,B,,wp,wp_mail_shirt
costume_catalog,AR004,Длинная кольчуга профессионального воина,armor_and_weapons/long_mail_armor,B,,wp,wp_mail_long
costume_catalog,AR005,Кольчужный капюшон/коиф,armor_and_weapons/mail_coif,B,,wp,wp_mail_coif
costume_catalog,AR006,Кольчужная бармица,armor_and_weapons/mail_aventail,B,,wp,wp_barmitsa
costume_catalog,AR007,Ламеллярный или пластинчатый корпусной доспех — редкий вариант,armor_and_weapons/lamellar_armor,C,,wp,wp_lamellar
costume_catalog,AR008,Конический железный шлем,armor_and_weapons/helmet_conical,B,,wp,wp_helmet_conical
costume_catalog,AR009,Сфероконический шлем,armor_and_weapons/helmet_spheroconical,B,,wp,wp_helmet_spheroconical
costume_catalog,AR010,Шлем с наносником,armor_and_weapons/helmet_nasal,B,,wp,wp_helmet_nasal
costume_catalog,AR011,Элитный шлем с полумаской типа IV,armor_and_weapons/helmet_elite_mask,C,,wp,wp_helmet_halfmask
costume_catalog,AR012,Внутренняя подкладка и ремень шлема,armor_and_weapons/helmet_lining,B,,wp,wp_helmet_liner
costume_catalog,AR013,Круглый щит,armor_and_weapons/shield_round,B,,wp,wp_shield_round
costume_catalog,AR014,Миндалевидный/каплевидный щит,armor_and_weapons/shield_kite,B,,wp,wp_shield_almond
costume_catalog,AR015,Укороченный треугольный/скруглённо-треугольный щит — переходный вариант,armor_and_weapons/shield_transitional,C,,wp,wp_shield_triangular
costume_catalog,AR016,"Щитовое покрытие, окраска и ременная рукоять",armor_and_weapons/shield_components,B,,wp,wp_shield_facing
costume_catalog,AR017,Копьё,armor_and_weapons/spear,A,,wp,wp_spear
costume_catalog,AR018,Конное копьё/ланцеобразное оружие,armor_and_weapons/mounted_lance,B,,wp,wp_lance
costume_catalog,AR019,Сулица/лёгкое метательное копьё,armor_and_weapons/javelin,A,,wp,wp_sulitsa
costume_catalog,AR020,Меч,armor_and_weapons/sword,A,,wp,wp_sword
costume_catalog,AR021,Ножны меча,armor_and_weapons/sword_scabbard,B,,wp,wp_sword_scabbard
costume_catalog,AR022,"Универсальный топор, пригодный в бою",armor_and_weapons/axe_general,A,,wp,wp_utility_axe
costume_catalog,AR023,Боевой топор,armor_and_weapons/war_axe,A,,wp,wp_battle_axe
costume_catalog,AR024,Булава,armor_and_weapons/mace,A,,wp,wp_mace
costume_catalog,AR025,Кистень,armor_and_weapons/flail,B,,wp,wp_flail
costume_catalog,AR026,Боевой/универсальный нож,armor_and_weapons/combat_knife,A,,wp,wp_knife
costume_catalog,AR027,Простой лук,armor_and_weapons/bow,B,,wp,wp_bow_self
costume_catalog,AR028,Стрелы с железными наконечниками,armor_and_weapons/arrows,A,,wp,wp_arrow
costume_catalog,AR029,Колчан,armor_and_weapons/quiver,B,,wp,wp_quiver
costume_catalog,AR030,Чехол для лука — осторожная реконструкция,armor_and_weapons/bow_case,C,,wp,wp_bow_case
costume_catalog,AR031,Праща — возможное простое метательное средство,armor_and_weapons/sling,C,,wp,wp_sling
costume_catalog,AR032,Деревянное седло с кожаным покрытием,armor_and_weapons/horse_saddle,B,,out_of_scope,horse_equipment (седло)
costume_catalog,AR033,Уздечка и железные удила,armor_and_weapons/horse_bridle,B,,out_of_scope,horse_equipment (узда)
costume_catalog,AR034,Железные стремена,armor_and_weapons/stirrups,A,,out_of_scope,horse_equipment (стремена)
costume_catalog,AR035,Конский потник/попона простого типа,armor_and_weapons/horse_cloth,B,,out_of_scope,horse_equipment (потник)
costume_catalog,AR036,Воинский походный плащ,armor_and_weapons/military_cloak,B,,out_of_scope,garments (воинский плащ)
costume_catalog,AR037,Зимний воинский комплект слоёв,armor_and_weapons/winter_military_layers,B,,out_of_scope,garments (зимний воинский комплект)
costume_catalog,AR038,Кожаные/шерстяные воинские рукавицы — без латных пластин,armor_and_weapons/military_gloves,C,,wp,wp_military_gloves
costume_catalog,AR039,Набор для ухода за кольчугой и оружием,armor_and_weapons/maintenance_kit,C,,wp,wp_maintenance_kit
costume_catalog,AR040,Сигнальный рог,armor_and_weapons/signal_horn,C,,wp,wp_signal_horn
