link_id,item_id,location_archetype,location_name_ru,context_anchor_item_ids,relation,spawn_frequency,availability_class,notes,record_scope
ILO002977,OMI00498,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO002978,OMI00498,military_camp,военный лагерь или обоз,[],may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO002979,OMI00498,stable,конюшня,"[""ARC0001""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO002980,OMI00499,leather_workshop,кожевенная или сапожная рабочая зона,"[""ARC0031"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO002981,OMI00499,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO002982,OMI00499,urban_house,жилой городской дом,"[""ARC0020"",""ARC0021"",""INT0015"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO002983,OMI00499,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO002984,OMI00499,military_camp,военный лагерь или обоз,[],may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO002985,OMI00499,stable,конюшня,"[""ARC0001""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO002986,OMI00500,leather_workshop,кожевенная или сапожная рабочая зона,"[""ARC0031"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO002987,OMI00500,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO002988,OMI00500,urban_house,жилой городской дом,"[""ARC0020"",""ARC0021"",""INT0015"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO002989,OMI00500,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO002990,OMI00500,military_camp,военный лагерь или обоз,[],may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO002991,OMI00500,stable,конюшня,"[""ARC0001""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO002992,OMI00501,leather_workshop,кожевенная или сапожная рабочая зона,"[""ARC0031"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO002993,OMI00501,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO002994,OMI00501,urban_house,жилой городской дом,"[""ARC0020"",""ARC0021"",""INT0015"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO002995,OMI00501,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO002996,OMI00501,military_camp,военный лагерь или обоз,[],may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO002997,OMI00501,stable,конюшня,"[""ARC0001""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO002998,OMI00502,leather_workshop,кожевенная или сапожная рабочая зона,"[""ARC0031"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO002999,OMI00502,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003000,OMI00502,urban_house,жилой городской дом,"[""ARC0020"",""ARC0021"",""INT0015"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003001,OMI00502,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003002,OMI00502,military_camp,военный лагерь или обоз,[],may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003003,OMI00502,stable,конюшня,"[""ARC0001""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003004,OMI00503,leather_workshop,кожевенная или сапожная рабочая зона,"[""ARC0031"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003005,OMI00503,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003006,OMI00503,urban_house,жилой городской дом,"[""ARC0020"",""ARC0021"",""INT0015"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003007,OMI00503,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003008,OMI00503,military_camp,военный лагерь или обоз,[],may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003009,OMI00503,stable,конюшня,"[""ARC0001""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003010,OMI00504,leather_workshop,кожевенная или сапожная рабочая зона,"[""ARC0031"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003011,OMI00504,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003012,OMI00504,urban_house,жилой городской дом,"[""ARC0020"",""ARC0021"",""INT0015"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003013,OMI00504,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003014,OMI00504,military_camp,военный лагерь или обоз,[],may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003015,OMI00504,stable,конюшня,"[""ARC0001""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003016,OMI00505,leather_workshop,кожевенная или сапожная рабочая зона,"[""ARC0031"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003017,OMI00505,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003018,OMI00505,urban_house,жилой городской дом,"[""ARC0020"",""ARC0021"",""INT0015"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003019,OMI00505,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003020,OMI00505,military_camp,военный лагерь или обоз,[],may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003021,OMI00505,stable,конюшня,"[""ARC0001""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003022,OMI00506,leather_workshop,кожевенная или сапожная рабочая зона,"[""ARC0031"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,ubiquitous,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003023,OMI00506,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,ubiquitous,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003024,OMI00506,urban_house,жилой городской дом,"[""ARC0020"",""ARC0021"",""INT0015"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,ubiquitous,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003025,OMI00506,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,ubiquitous,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003026,OMI00506,military_camp,военный лагерь или обоз,[],may_occur_with_supporting_household_craft_environment_or_process_basis,ubiquitous,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003027,OMI00506,stable,конюшня,"[""ARC0001""]",may_occur_with_supporting_household_craft_environment_or_process_basis,ubiquitous,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003028,OMI00507,leather_workshop,кожевенная или сапожная рабочая зона,"[""ARC0031"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003029,OMI00507,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003030,OMI00507,urban_house,жилой городской дом,"[""ARC0020"",""ARC0021"",""INT0015"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003031,OMI00507,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003032,OMI00507,military_camp,военный лагерь или обоз,[],may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003033,OMI00507,stable,конюшня,"[""ARC0001""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003034,OMI00508,leather_workshop,кожевенная или сапожная рабочая зона,"[""ARC0031"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003035,OMI00508,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003036,OMI00508,urban_house,жилой городской дом,"[""ARC0020"",""ARC0021"",""INT0015"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003037,OMI00508,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003038,OMI00508,military_camp,военный лагерь или обоз,[],may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003039,OMI00508,stable,конюшня,"[""ARC0001""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003040,OMI00509,leather_workshop,кожевенная или сапожная рабочая зона,"[""ARC0031"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003041,OMI00509,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003042,OMI00509,urban_house,жилой городской дом,"[""ARC0020"",""ARC0021"",""INT0015"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003043,OMI00509,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003044,OMI00509,military_camp,военный лагерь или обоз,[],may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003045,OMI00509,stable,конюшня,"[""ARC0001""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003046,OMI00510,leather_workshop,кожевенная или сапожная рабочая зона,"[""ARC0031"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003047,OMI00510,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003048,OMI00510,urban_house,жилой городской дом,"[""ARC0020"",""ARC0021"",""INT0015"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003049,OMI00510,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003050,OMI00510,military_camp,военный лагерь или обоз,[],may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003051,OMI00510,stable,конюшня,"[""ARC0001""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003052,OMI00511,leather_workshop,кожевенная или сапожная рабочая зона,"[""ARC0031"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003053,OMI00511,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003054,OMI00511,urban_house,жилой городской дом,"[""ARC0020"",""ARC0021"",""INT0015"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003055,OMI00511,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003056,OMI00511,military_camp,военный лагерь или обоз,[],may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003057,OMI00511,stable,конюшня,"[""ARC0001""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003058,OMI00512,leather_workshop,кожевенная или сапожная рабочая зона,"[""ARC0031"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003059,OMI00512,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003060,OMI00512,urban_house,жилой городской дом,"[""ARC0020"",""ARC0021"",""INT0015"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003061,OMI00512,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003062,OMI00512,military_camp,военный лагерь или обоз,[],may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003063,OMI00512,stable,конюшня,"[""ARC0001""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003064,OMI00513,leather_workshop,кожевенная или сапожная рабочая зона,"[""ARC0031"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003065,OMI00513,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003066,OMI00513,urban_house,жилой городской дом,"[""ARC0020"",""ARC0021"",""INT0015"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003067,OMI00513,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003068,OMI00513,military_camp,военный лагерь или обоз,[],may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003069,OMI00513,stable,конюшня,"[""ARC0001""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003070,OMI00514,leather_workshop,кожевенная или сапожная рабочая зона,"[""ARC0031"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003071,OMI00514,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003072,OMI00514,urban_house,жилой городской дом,"[""ARC0020"",""ARC0021"",""INT0015"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003073,OMI00514,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003074,OMI00514,military_camp,военный лагерь или обоз,[],may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003075,OMI00514,stable,конюшня,"[""ARC0001""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003076,OMI00515,leather_workshop,кожевенная или сапожная рабочая зона,"[""ARC0031"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003077,OMI00515,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003078,OMI00515,urban_house,жилой городской дом,"[""ARC0020"",""ARC0021"",""INT0015"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003079,OMI00515,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003080,OMI00515,military_camp,военный лагерь или обоз,[],may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003081,OMI00515,stable,конюшня,"[""ARC0001""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003082,OMI00516,leather_workshop,кожевенная или сапожная рабочая зона,"[""ARC0031"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003083,OMI00516,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003084,OMI00516,urban_house,жилой городской дом,"[""ARC0020"",""ARC0021"",""INT0015"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003085,OMI00516,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003086,OMI00516,military_camp,военный лагерь или обоз,[],may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003087,OMI00516,stable,конюшня,"[""ARC0001""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003088,OMI00517,leather_workshop,кожевенная или сапожная рабочая зона,"[""ARC0031"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003089,OMI00517,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003090,OMI00517,urban_house,жилой городской дом,"[""ARC0020"",""ARC0021"",""INT0015"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003091,OMI00517,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003092,OMI00517,military_camp,военный лагерь или обоз,[],may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003093,OMI00517,stable,конюшня,"[""ARC0001""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003094,OMI00518,leather_workshop,кожевенная или сапожная рабочая зона,"[""ARC0031"",""INT0019""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO003095,OMI00518,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
