economic_link_id,source_profession,relation,target_profession,item_ids,description,historical_confidence,source_ids
ECO00268,PRO0084,sells_to,PRO0413,"[""FOD0001"",""FOD0002"",""FOD0053""]","Пекарь, выпекающий хлеб на продажу передаёт продукт роли «Городской хозяин двора».",A,"[""SRC008"",""SRC044"",""SRC045"",""SRC102"",""SRC001"",""SRC012"",""SRC028"",""SRC067""]"
ECO00269,PRO0084,sells_to,PRO0386,"[""FOD0001"",""FOD0002"",""FOD0053""]","Пекарь, выпекающий хлеб на продажу передаёт продукт роли «Хозяйственный служитель монастыря».",B,"[""SRC008"",""SRC044"",""SRC045"",""SRC102"",""SRC017"",""SRC018"",""SRC020"",""SRC021""]"
ECO00270,PRO0081,supplies,PRO0085,"[""FOD0052""]",Мельник ручных жерновов снабжает сырьём роль «Домашний пекарь».,A,"[""SRC044"",""SRC045"",""SRC046"",""SRC102"",""SRC008""]"
ECO00271,PRO0082,supplies,PRO0085,"[""FOD0052""]",Мельник водяной мельницы снабжает сырьём роль «Домашний пекарь».,A,"[""SRC044"",""SRC045"",""SRC046"",""SRC102"",""SRC008""]"
ECO00272,PRO0260,supplies,PRO0085,"[""FOD0052""]",Торговец зерном и мукой снабжает сырьём роль «Домашний пекарь».,A,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00273,PRO0139,supplies,PRO0085,"[""MSC0046""]",Заготовитель дров снабжает сырьём роль «Домашний пекарь».,A,"[""SRC005"",""SRC045"",""SRC046"",""SRC089"",""SRC102"",""SRC008"",""SRC044""]"
ECO00274,PRO0085,sells_to,PRO0413,"[""FOD0001"",""FOD0002"",""FOD0053""]",Домашний пекарь передаёт продукт роли «Городской хозяин двора».,A,"[""SRC008"",""SRC044"",""SRC045"",""SRC102"",""SRC001"",""SRC012"",""SRC028"",""SRC067""]"
ECO00275,PRO0085,sells_to,PRO0386,"[""FOD0001"",""FOD0002"",""FOD0053""]",Домашний пекарь передаёт продукт роли «Хозяйственный служитель монастыря».,A,"[""SRC008"",""SRC044"",""SRC045"",""SRC102"",""SRC017"",""SRC018"",""SRC020"",""SRC021""]"
ECO00276,PRO0260,supplies,PRO0086,"[""FOD0022""]",Торговец зерном и мукой снабжает сырьём роль «Пивовар».,A,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00277,PRO0263,supplies,PRO0086,"[""FOD0025""]",Торговец мёдом и воском снабжает сырьём роль «Пивовар».,A,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00278,PRO0086,sells_to,PRO0413,"[""FOD0058"",""FOD0059""]",Пивовар передаёт продукт роли «Городской хозяин двора».,A,"[""SRC008"",""SRC044"",""SRC045"",""SRC102"",""SRC001"",""SRC012"",""SRC028"",""SRC067""]"
ECO00279,PRO0086,sells_to,PRO0386,"[""FOD0058"",""FOD0059""]",Пивовар передаёт продукт роли «Хозяйственный служитель монастыря».,B,"[""SRC008"",""SRC044"",""SRC045"",""SRC102"",""SRC017"",""SRC018"",""SRC020"",""SRC021""]"
ECO00280,PRO0260,supplies,PRO0087,"[""FOD0022""]",Торговец зерном и мукой снабжает сырьём роль «Медовар».,A,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00281,PRO0263,supplies,PRO0087,"[""FOD0025""]",Торговец мёдом и воском снабжает сырьём роль «Медовар».,A,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00282,PRO0087,sells_to,PRO0413,"[""FOD0058"",""FOD0059""]",Медовар передаёт продукт роли «Городской хозяин двора».,A,"[""SRC008"",""SRC044"",""SRC045"",""SRC102"",""SRC001"",""SRC012"",""SRC028"",""SRC067""]"
ECO00283,PRO0087,sells_to,PRO0386,"[""FOD0058"",""FOD0059""]",Медовар передаёт продукт роли «Хозяйственный служитель монастыря».,B,"[""SRC008"",""SRC044"",""SRC045"",""SRC102"",""SRC017"",""SRC018"",""SRC020"",""SRC021""]"
ECO00284,PRO0260,supplies,PRO0088,"[""FOD0022""]",Торговец зерном и мукой снабжает сырьём роль «Изготовитель хлебного напитка / кваса».,A,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00285,PRO0263,supplies,PRO0088,"[""FOD0025""]",Торговец мёдом и воском снабжает сырьём роль «Изготовитель хлебного напитка / кваса».,A,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00286,PRO0088,sells_to,PRO0413,"[""FOD0058"",""FOD0059""]",Изготовитель хлебного напитка / кваса передаёт продукт роли «Городской хозяин двора».,A,"[""SRC008"",""SRC044"",""SRC045"",""SRC102"",""SRC001"",""SRC012"",""SRC028"",""SRC067""]"
ECO00287,PRO0088,sells_to,PRO0386,"[""FOD0058"",""FOD0059""]",Изготовитель хлебного напитка / кваса передаёт продукт роли «Хозяйственный служитель монастыря».,B,"[""SRC008"",""SRC044"",""SRC045"",""SRC102"",""SRC017"",""SRC018"",""SRC020"",""SRC021""]"
ECO00288,PRO0260,supplies,PRO0089,"[""FOD0022""]",Торговец зерном и мукой снабжает сырьём роль «Солодовник».,A,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00289,PRO0147,supplies,PRO0089,"[""FOD0022""]",Крестьянский хозяин с несколькими занятиями снабжает сырьём роль «Солодовник».,A,"[""SRC028"",""SRC044"",""SRC045"",""SRC046"",""SRC047"",""SRC102"",""SRC008""]"
ECO00290,PRO0089,sells_to,PRO0413,"[""CRF0054""]",Солодовник передаёт продукт роли «Городской хозяин двора».,A,"[""SRC008"",""SRC044"",""SRC045"",""SRC102"",""SRC001"",""SRC012"",""SRC028"",""SRC067""]"
ECO00291,PRO0089,sells_to,PRO0386,"[""CRF0054""]",Солодовник передаёт продукт роли «Хозяйственный служитель монастыря».,B,"[""SRC008"",""SRC044"",""SRC045"",""SRC102"",""SRC017"",""SRC018"",""SRC020"",""SRC021""]"
ECO00292,PRO0119,supplies,PRO0090,"[""FOD0061""]",Промысловый охотник снабжает сырьём роль «Мясник».,A,"[""SRC028"",""SRC041"",""SRC042"",""SRC045"",""SRC072"",""SRC091"",""SRC025"",""SRC040""]"
ECO00293,PRO0090,sells_to,PRO0413,"[""FOD0064"",""FOD0032"",""MSC0034""]",Мясник передаёт продукт роли «Городской хозяин двора».,A,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC001"",""SRC008""]"
ECO00294,PRO0090,sells_to,PRO0318,"[""FOD0064"",""FOD0032"",""MSC0034""]",Мясник передаёт продукт роли «Возчик военного обоза».,B,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC031"",""SRC034""]"
ECO00295,PRO0090,sells_to,PRO0386,"[""FOD0064"",""FOD0032"",""MSC0034""]",Мясник передаёт продукт роли «Хозяйственный служитель монастыря».,B,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC017"",""SRC018""]"
ECO00296,PRO0119,supplies,PRO0091,"[""FOD0061""]",Промысловый охотник снабжает сырьём роль «Забойщик скота».,A,"[""SRC028"",""SRC041"",""SRC042"",""SRC045"",""SRC072"",""SRC091"",""SRC025"",""SRC040""]"
ECO00297,PRO0091,sells_to,PRO0413,"[""FOD0064"",""FOD0032"",""MSC0034""]",Забойщик скота передаёт продукт роли «Городской хозяин двора».,A,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC001"",""SRC008""]"
ECO00298,PRO0091,sells_to,PRO0318,"[""FOD0064"",""FOD0032"",""MSC0034""]",Забойщик скота передаёт продукт роли «Возчик военного обоза».,B,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC031"",""SRC034""]"
ECO00299,PRO0091,sells_to,PRO0386,"[""FOD0064"",""FOD0032"",""MSC0034""]",Забойщик скота передаёт продукт роли «Хозяйственный служитель монастыря».,B,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC017"",""SRC018""]"
ECO00300,PRO0261,supplies,PRO0092,"[""FOD0037""]",Торговец солью снабжает сырьём роль «Заготовитель солёного и сушёного мяса».,B,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00301,PRO0092,sells_to,PRO0413,"[""FOD0032"",""FOD0033""]",Заготовитель солёного и сушёного мяса передаёт продукт роли «Городской хозяин двора».,A,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC001"",""SRC008""]"
ECO00302,PRO0092,sells_to,PRO0318,"[""FOD0032"",""FOD0033""]",Заготовитель солёного и сушёного мяса передаёт продукт роли «Возчик военного обоза».,B,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC031"",""SRC034""]"
ECO00303,PRO0092,sells_to,PRO0386,"[""FOD0032"",""FOD0033""]",Заготовитель солёного и сушёного мяса передаёт продукт роли «Хозяйственный служитель монастыря».,B,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC017"",""SRC018""]"
ECO00304,PRO0105,supplies,PRO0093,"[""FOD0010""]",Профессиональный рыбак снабжает сырьём роль «Рыбник / обработчик улова».,A,"[""SRC025"",""SRC028"",""SRC029"",""SRC094"",""SRC040"",""SRC045"",""SRC041"",""SRC042""]"
ECO00305,PRO0261,supplies,PRO0093,"[""FOD0037""]",Торговец солью снабжает сырьём роль «Рыбник / обработчик улова».,A,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00306,PRO0093,sells_to,PRO0413,"[""FOD0012"",""FOD0011"",""FOD0063""]",Рыбник / обработчик улова передаёт продукт роли «Городской хозяин двора».,A,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC001"",""SRC008""]"
ECO00307,PRO0093,sells_to,PRO0318,"[""FOD0012"",""FOD0011"",""FOD0063""]",Рыбник / обработчик улова передаёт продукт роли «Возчик военного обоза».,A,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC031"",""SRC034""]"
ECO00308,PRO0093,sells_to,PRO0386,"[""FOD0012"",""FOD0011"",""FOD0063""]",Рыбник / обработчик улова передаёт продукт роли «Хозяйственный служитель монастыря».,A,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC017"",""SRC018""]"
ECO00309,PRO0105,supplies,PRO0094,"[""FOD0010""]",Профессиональный рыбак снабжает сырьём роль «Солильщик рыбы».,A,"[""SRC025"",""SRC028"",""SRC029"",""SRC094"",""SRC040"",""SRC045"",""SRC041"",""SRC042""]"
ECO00310,PRO0261,supplies,PRO0094,"[""FOD0037""]",Торговец солью снабжает сырьём роль «Солильщик рыбы».,B,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00311,PRO0094,sells_to,PRO0413,"[""FOD0012"",""FOD0011"",""FOD0063""]",Солильщик рыбы передаёт продукт роли «Городской хозяин двора».,A,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC001"",""SRC008""]"
ECO00312,PRO0094,sells_to,PRO0318,"[""FOD0012"",""FOD0011"",""FOD0063""]",Солильщик рыбы передаёт продукт роли «Возчик военного обоза».,B,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC031"",""SRC034""]"
ECO00313,PRO0094,sells_to,PRO0386,"[""FOD0012"",""FOD0011"",""FOD0063""]",Солильщик рыбы передаёт продукт роли «Хозяйственный служитель монастыря».,B,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC017"",""SRC018""]"
ECO00314,PRO0105,supplies,PRO0095,"[""FOD0010""]",Профессиональный рыбак снабжает сырьём роль «Сушильщик и вялитель рыбы».,A,"[""SRC025"",""SRC028"",""SRC029"",""SRC094"",""SRC040"",""SRC045"",""SRC041"",""SRC042""]"
ECO00315,PRO0261,supplies,PRO0095,"[""FOD0037""]",Торговец солью снабжает сырьём роль «Сушильщик и вялитель рыбы».,B,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00316,PRO0095,sells_to,PRO0413,"[""FOD0012"",""FOD0011"",""FOD0063""]",Сушильщик и вялитель рыбы передаёт продукт роли «Городской хозяин двора».,A,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC001"",""SRC008""]"
ECO00317,PRO0095,sells_to,PRO0318,"[""FOD0012"",""FOD0011"",""FOD0063""]",Сушильщик и вялитель рыбы передаёт продукт роли «Возчик военного обоза».,B,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC031"",""SRC034""]"
ECO00318,PRO0095,sells_to,PRO0386,"[""FOD0012"",""FOD0011"",""FOD0063""]",Сушильщик и вялитель рыбы передаёт продукт роли «Хозяйственный служитель монастыря».,B,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC017"",""SRC018""]"
ECO00319,PRO0096,sells_to,PRO0413,"[""FOD0003"",""FOD0004"",""FOD0007""]",Переработчик молока передаёт продукт роли «Городской хозяин двора».,A,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC001"",""SRC008""]"
ECO00320,PRO0096,sells_to,PRO0318,"[""FOD0003"",""FOD0004"",""FOD0007""]",Переработчик молока передаёт продукт роли «Возчик военного обоза».,A,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC031"",""SRC034""]"
ECO00321,PRO0096,sells_to,PRO0386,"[""FOD0003"",""FOD0004"",""FOD0007""]",Переработчик молока передаёт продукт роли «Хозяйственный служитель монастыря».,A,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC017"",""SRC018""]"
ECO00322,PRO0097,sells_to,PRO0413,"[""FOD0003"",""FOD0004"",""FOD0007""]",Изготовитель масла передаёт продукт роли «Городской хозяин двора».,A,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC001"",""SRC008""]"
ECO00323,PRO0097,sells_to,PRO0318,"[""FOD0003"",""FOD0004"",""FOD0007""]",Изготовитель масла передаёт продукт роли «Возчик военного обоза».,B,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC031"",""SRC034""]"
ECO00324,PRO0097,sells_to,PRO0386,"[""FOD0003"",""FOD0004"",""FOD0007""]",Изготовитель масла передаёт продукт роли «Хозяйственный служитель монастыря».,B,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC017"",""SRC018""]"
ECO00325,PRO0098,sells_to,PRO0413,"[""FOD0003"",""FOD0004"",""FOD0007""]",Изготовитель творога и свежего сыра передаёт продукт роли «Городской хозяин двора».,A,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC001"",""SRC008""]"
ECO00326,PRO0098,sells_to,PRO0318,"[""FOD0003"",""FOD0004"",""FOD0007""]",Изготовитель творога и свежего сыра передаёт продукт роли «Возчик военного обоза».,B,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC031"",""SRC034""]"
ECO00327,PRO0098,sells_to,PRO0386,"[""FOD0003"",""FOD0004"",""FOD0007""]",Изготовитель творога и свежего сыра передаёт продукт роли «Хозяйственный служитель монастыря».,B,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC017"",""SRC018""]"
ECO00328,PRO0260,supplies,PRO0099,"[""FOD0051"",""FOD0022""]","Торговец зерном и мукой снабжает сырьём роль «Человек, готовящий пищу для семьи».",A,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00329,PRO0099,sells_to,PRO0413,"[""FOD0049""]","Человек, готовящий пищу для семьи передаёт продукт роли «Городской хозяин двора».",A,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC001"",""SRC008""]"
ECO00330,PRO0099,sells_to,PRO0318,"[""FOD0049""]","Человек, готовящий пищу для семьи передаёт продукт роли «Возчик военного обоза».",A,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC031"",""SRC034""]"
ECO00331,PRO0099,sells_to,PRO0386,"[""FOD0049""]","Человек, готовящий пищу для семьи передаёт продукт роли «Хозяйственный служитель монастыря».",A,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC017"",""SRC018""]"
ECO00332,PRO0260,supplies,PRO0100,"[""FOD0051"",""FOD0022""]",Торговец зерном и мукой снабжает сырьём роль «Повар крупного боярского или княжеского хозяйства».,A,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00333,PRO0100,sells_to,PRO0413,"[""FOD0049""]",Повар крупного боярского или княжеского хозяйства передаёт продукт роли «Городской хозяин двора».,A,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC001"",""SRC008""]"
ECO00334,PRO0100,sells_to,PRO0318,"[""FOD0049""]",Повар крупного боярского или княжеского хозяйства передаёт продукт роли «Возчик военного обоза».,B,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC031"",""SRC034""]"
ECO00335,PRO0100,sells_to,PRO0386,"[""FOD0049""]",Повар крупного боярского или княжеского хозяйства передаёт продукт роли «Хозяйственный служитель монастыря».,B,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC017"",""SRC018""]"
ECO00336,PRO0260,supplies,PRO0101,"[""FOD0051"",""FOD0022""]",Торговец зерном и мукой снабжает сырьём роль «Повар монастырского хозяйства».,A,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00337,PRO0101,sells_to,PRO0413,"[""FOD0049""]",Повар монастырского хозяйства передаёт продукт роли «Городской хозяин двора».,A,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC001"",""SRC008""]"
ECO00338,PRO0101,sells_to,PRO0318,"[""FOD0049""]",Повар монастырского хозяйства передаёт продукт роли «Возчик военного обоза».,B,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC031"",""SRC034""]"
ECO00339,PRO0101,sells_to,PRO0386,"[""FOD0049""]",Повар монастырского хозяйства передаёт продукт роли «Хозяйственный служитель монастыря».,B,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC017"",""SRC018""]"
ECO00340,PRO0102,sells_to,PRO0413,[],Продавец готовой пищи и напитков на Торгу передаёт продукт роли «Городской хозяин двора».,A,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00341,PRO0102,sells_to,PRO0341,[],Продавец готовой пищи и напитков на Торгу передаёт продукт роли «Участник веча».,A,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00342,PRO0102,sells_to,PRO0303,[],Продавец готовой пищи и напитков на Торгу передаёт продукт роли «Хозяин или служитель двора иностранных купцов».,C,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00343,PRO0103,sells_to,PRO0413,[],Хранитель зерна и пищевых запасов передаёт продукт роли «Городской хозяин двора».,A,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC001"",""SRC008""]"
ECO00344,PRO0103,sells_to,PRO0318,[],Хранитель зерна и пищевых запасов передаёт продукт роли «Возчик военного обоза».,B,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC031"",""SRC034""]"
ECO00345,PRO0103,sells_to,PRO0386,[],Хранитель зерна и пищевых запасов передаёт продукт роли «Хозяйственный служитель монастыря».,B,"[""SRC025"",""SRC040"",""SRC041"",""SRC042"",""SRC044"",""SRC045"",""SRC017"",""SRC018""]"
ECO00346,PRO0104,sells_to,PRO0413,"[""FOD0014"",""FOD0015"",""FOD0016"",""FOD0017""]","Заготовитель грибов, ягод, орехов и трав передаёт продукт роли «Городской хозяин двора».",A,"[""SRC005"",""SRC045"",""SRC046"",""SRC089"",""SRC102"",""SRC001"",""SRC008"",""SRC012""]"
ECO00347,PRO0105,sells_to,PRO0413,"[""FOD0010"",""FOD0012"",""FOD0011""]",Профессиональный рыбак передаёт продукт роли «Городской хозяин двора».,A,"[""SRC025"",""SRC028"",""SRC029"",""SRC094"",""SRC040"",""SRC045"",""SRC001"",""SRC008""]"
ECO00348,PRO0105,sells_to,PRO0101,"[""FOD0010"",""FOD0012"",""FOD0011""]",Профессиональный рыбак передаёт продукт роли «Повар монастырского хозяйства».,A,"[""SRC025"",""SRC028"",""SRC029"",""SRC094"",""SRC040"",""SRC045"",""SRC041"",""SRC042""]"
ECO00349,PRO0106,sells_to,PRO0093,"[""FOD0010""]",Сезонный рыбак передаёт продукт роли «Рыбник / обработчик улова».,A,"[""SRC025"",""SRC028"",""SRC029"",""SRC094"",""SRC040"",""SRC045"",""SRC041"",""SRC042""]"
ECO00350,PRO0106,sells_to,PRO0413,"[""FOD0010"",""FOD0012"",""FOD0011""]",Сезонный рыбак передаёт продукт роли «Городской хозяин двора».,A,"[""SRC025"",""SRC028"",""SRC029"",""SRC094"",""SRC040"",""SRC045"",""SRC001"",""SRC008""]"
ECO00351,PRO0106,sells_to,PRO0101,"[""FOD0010"",""FOD0012"",""FOD0011""]",Сезонный рыбак передаёт продукт роли «Повар монастырского хозяйства».,A,"[""SRC025"",""SRC028"",""SRC029"",""SRC094"",""SRC040"",""SRC045"",""SRC041"",""SRC042""]"
ECO00352,PRO0107,sells_to,PRO0093,"[""FOD0010""]",Неводчик передаёт продукт роли «Рыбник / обработчик улова».,A,"[""SRC025"",""SRC028"",""SRC029"",""SRC094"",""SRC040"",""SRC045"",""SRC041"",""SRC042""]"
ECO00353,PRO0107,sells_to,PRO0413,"[""FOD0010""]",Неводчик передаёт продукт роли «Городской хозяин двора».,A,"[""SRC025"",""SRC028"",""SRC029"",""SRC094"",""SRC040"",""SRC045"",""SRC001"",""SRC008""]"
ECO00354,PRO0107,sells_to,PRO0101,"[""FOD0010""]",Неводчик передаёт продукт роли «Повар монастырского хозяйства».,A,"[""SRC025"",""SRC028"",""SRC029"",""SRC094"",""SRC040"",""SRC045"",""SRC041"",""SRC042""]"
ECO00355,PRO0108,sells_to,PRO0093,"[""FOD0010""]",Участник неводной артели передаёт продукт роли «Рыбник / обработчик улова».,A,"[""SRC025"",""SRC028"",""SRC029"",""SRC094"",""SRC040"",""SRC045"",""SRC041"",""SRC042""]"
ECO00356,PRO0108,sells_to,PRO0413,"[""FOD0010""]",Участник неводной артели передаёт продукт роли «Городской хозяин двора».,A,"[""SRC025"",""SRC028"",""SRC029"",""SRC094"",""SRC040"",""SRC045"",""SRC001"",""SRC008""]"
ECO00357,PRO0108,sells_to,PRO0101,"[""FOD0010""]",Участник неводной артели передаёт продукт роли «Повар монастырского хозяйства».,A,"[""SRC025"",""SRC028"",""SRC029"",""SRC094"",""SRC040"",""SRC045"",""SRC041"",""SRC042""]"
ECO00358,PRO0109,sells_to,PRO0093,"[""FOD0010""]",Рыбак ставными сетями передаёт продукт роли «Рыбник / обработчик улова».,A,"[""SRC025"",""SRC028"",""SRC029"",""SRC094"",""SRC040"",""SRC045"",""SRC041"",""SRC042""]"
ECO00359,PRO0109,sells_to,PRO0413,"[""FOD0010""]",Рыбак ставными сетями передаёт продукт роли «Городской хозяин двора».,A,"[""SRC025"",""SRC028"",""SRC029"",""SRC094"",""SRC040"",""SRC045"",""SRC001"",""SRC008""]"
ECO00360,PRO0109,sells_to,PRO0101,"[""FOD0010""]",Рыбак ставными сетями передаёт продукт роли «Повар монастырского хозяйства».,A,"[""SRC025"",""SRC028"",""SRC029"",""SRC094"",""SRC040"",""SRC045"",""SRC041"",""SRC042""]"
ECO00361,PRO0110,sells_to,PRO0093,"[""FOD0010""]",Рыбак с вершами и заколами передаёт продукт роли «Рыбник / обработчик улова».,A,"[""SRC025"",""SRC028"",""SRC029"",""SRC094"",""SRC040"",""SRC045"",""SRC041"",""SRC042""]"
ECO00362,PRO0110,sells_to,PRO0413,"[""FOD0010""]",Рыбак с вершами и заколами передаёт продукт роли «Городской хозяин двора».,A,"[""SRC025"",""SRC028"",""SRC029"",""SRC094"",""SRC040"",""SRC045"",""SRC001"",""SRC008""]"
ECO00363,PRO0110,sells_to,PRO0101,"[""FOD0010""]",Рыбак с вершами и заколами передаёт продукт роли «Повар монастырского хозяйства».,B,"[""SRC025"",""SRC028"",""SRC029"",""SRC094"",""SRC040"",""SRC045"",""SRC041"",""SRC042""]"
ECO00364,PRO0111,sells_to,PRO0093,"[""FOD0010""]",Рыбак крючковой снастью передаёт продукт роли «Рыбник / обработчик улова».,A,"[""SRC025"",""SRC028"",""SRC029"",""SRC094"",""SRC040"",""SRC045"",""SRC041"",""SRC042""]"
ECO00365,PRO0111,sells_to,PRO0413,"[""FOD0010""]",Рыбак крючковой снастью передаёт продукт роли «Городской хозяин двора».,A,"[""SRC025"",""SRC028"",""SRC029"",""SRC094"",""SRC040"",""SRC045"",""SRC001"",""SRC008""]"
ECO00366,PRO0111,sells_to,PRO0101,"[""FOD0010""]",Рыбак крючковой снастью передаёт продукт роли «Повар монастырского хозяйства».,A,"[""SRC025"",""SRC028"",""SRC029"",""SRC094"",""SRC040"",""SRC045"",""SRC041"",""SRC042""]"
ECO00367,PRO0112,sells_to,PRO0093,"[""FOD0010""]",Зимний подлёдный рыбак передаёт продукт роли «Рыбник / обработчик улова».,A,"[""SRC025"",""SRC028"",""SRC029"",""SRC094"",""SRC040"",""SRC045"",""SRC041"",""SRC042""]"
ECO00368,PRO0112,sells_to,PRO0413,"[""FOD0010""]",Зимний подлёдный рыбак передаёт продукт роли «Городской хозяин двора».,A,"[""SRC025"",""SRC028"",""SRC029"",""SRC094"",""SRC040"",""SRC045"",""SRC001"",""SRC008""]"
ECO00369,PRO0112,sells_to,PRO0101,"[""FOD0010""]",Зимний подлёдный рыбак передаёт продукт роли «Повар монастырского хозяйства».,B,"[""SRC025"",""SRC028"",""SRC029"",""SRC094"",""SRC040"",""SRC045"",""SRC041"",""SRC042""]"
ECO00370,PRO0113,sells_to,PRO0093,"[""FOD0010""]",Ловец рыбы острогой передаёт продукт роли «Рыбник / обработчик улова».,A,"[""SRC025"",""SRC028"",""SRC029"",""SRC094"",""SRC040"",""SRC045"",""SRC041"",""SRC042""]"
