of_id,clothing_profile_id,costume_class,class_name_ru,role_refs,sex_categories,age_categories,seasons,marital_status,status_band,default_condition_state,required_clothing_slot_refs,runtime_selectable,slot_base_garment,slot_lower_garment,slot_outer_garment,slot_over_garment_winter,slot_cloak,slot_waist,slot_waist_garment,slot_apron,slot_headwear,slot_head_under,slot_headband,slot_handwear,slot_leg_wrap,slot_foot_layer,slot_insole,slot_footwear,slot_over_footwear,slot_footwear_attachment,provenance,source_refs,confidence,status
of_urban_middle_female_warm_married,nov_clothing_urban_middle_v1,urban_middle,ремесленник / рядовой горожанин среднего достатка,nov_role_apprentice|nov_role_craftsman_master|nov_role_guard|nov_role_household_mistress|nov_role_householder|nov_role_journeyman|nov_role_trader,female,young_adult|adult|middle_aged|old,summer,married,middle,serviceable,base_garment|outer_garment|waist|headwear|head_under|footwear,true,gm_gf002,,gm_gf004,,,gm_ac001,,,gm_hw007,gm_hw006,,,,,,gm_fw002,,,"CMB003,CMB016 base (male; GM003 dropped in summer R1); CMB029,CMB030 (female); winter R2",costume:CMB003|costume:CMB016|costume:CMB029|costume:CMB030,B,candidate
of_urban_middle_female_warm_unmarried,nov_clothing_urban_middle_v1,urban_middle,ремесленник / рядовой горожанин среднего достатка,nov_role_apprentice|nov_role_craftsman_master|nov_role_guard|nov_role_household_mistress|nov_role_householder|nov_role_journeyman|nov_role_trader,female,young_adult|adult|middle_aged|old,summer,unmarried,middle,serviceable,base_garment|outer_garment|waist|headwear|footwear,false,gm_gf002,,gm_gf004,,,gm_ac001,,,gm_hw010,,,,,,,gm_fw002,,,"CMB003,CMB016 base (male; GM003 dropped in summer R1); CMB029,CMB030 (female); winter R2",costume:CMB003|costume:CMB016|costume:CMB029|costume:CMB030,B,candidate
of_urban_middle_female_cool_married,nov_clothing_urban_middle_v1,urban_middle,ремесленник / рядовой горожанин среднего достатка,nov_role_apprentice|nov_role_craftsman_master|nov_role_guard|nov_role_household_mistress|nov_role_householder|nov_role_journeyman|nov_role_trader,female,young_adult|adult|middle_aged|old,spring|spring_rasputitsa|autumn,married,middle,serviceable,base_garment|outer_garment|cloak|waist|headwear|head_under|foot_layer|footwear,true,gm_gf002,,gm_gf004,,gm_gf006,gm_ac001,,,gm_hw007,gm_hw006,,,,gm_fw016,,gm_fw002,,,"CMB003,CMB016 base (male; GM003 dropped in summer R1); CMB029,CMB030 (female); winter R2",costume:CMB003|costume:CMB016|costume:CMB029|costume:CMB030,B,candidate
of_urban_middle_female_cool_unmarried,nov_clothing_urban_middle_v1,urban_middle,ремесленник / рядовой горожанин среднего достатка,nov_role_apprentice|nov_role_craftsman_master|nov_role_guard|nov_role_household_mistress|nov_role_householder|nov_role_journeyman|nov_role_trader,female,young_adult|adult|middle_aged|old,spring|spring_rasputitsa|autumn,unmarried,middle,serviceable,base_garment|outer_garment|cloak|waist|headwear|foot_layer|footwear,false,gm_gf002,,gm_gf004,,gm_gf006,gm_ac001,,,gm_hw010,,,,,gm_fw016,,gm_fw002,,,"CMB003,CMB016 base (male; GM003 dropped in summer R1); CMB029,CMB030 (female); winter R2",costume:CMB003|costume:CMB016|costume:CMB029|costume:CMB030,B,candidate
of_urban_middle_female_cold_married,nov_clothing_urban_middle_v1,urban_middle,ремесленник / рядовой горожанин среднего достатка,nov_role_apprentice|nov_role_craftsman_master|nov_role_guard|nov_role_household_mistress|nov_role_householder|nov_role_journeyman|nov_role_trader,female,young_adult|adult|middle_aged|old,winter,married,middle,serviceable,base_garment|outer_garment|over_garment_winter|waist|headwear|head_under|foot_layer|insole|footwear,true,gm_gf001,,gm_gf003,gm_gf008,,gm_ac001,,,gm_hw011,gm_hw006,,,,gm_fw015,gm_fw013,gm_fw007,,,"CMB003,CMB016 base (male; GM003 dropped in summer R1); CMB029,CMB030 (female); winter R2",costume:CMB003|costume:CMB016|costume:CMB029|costume:CMB030,B,candidate
of_urban_middle_female_cold_unmarried,nov_clothing_urban_middle_v1,urban_middle,ремесленник / рядовой горожанин среднего достатка,nov_role_apprentice|nov_role_craftsman_master|nov_role_guard|nov_role_household_mistress|nov_role_householder|nov_role_journeyman|nov_role_trader,female,young_adult|adult|middle_aged|old,winter,unmarried,middle,serviceable,base_garment|outer_garment|over_garment_winter|waist|headwear|foot_layer|insole|footwear,false,gm_gf001,,gm_gf003,gm_gf008,,gm_ac001,,,gm_hw010,,,,,gm_fw015,gm_fw013,gm_fw007,,,"CMB003,CMB016 base (male; GM003 dropped in summer R1); CMB029,CMB030 (female); winter R2",costume:CMB003|costume:CMB016|costume:CMB029|costume:CMB030,B,candidate
of_merchant_male_warm_any,nov_clothing_merchant_v1,merchant,"купец, торговец, приказчик",nov_role_local_merchant|nov_role_merchant_clerk|nov_role_merchant_guest,male,young_adult|adult|middle_aged|old,summer,any,middle|high,serviceable,base_garment|lower_garment|outer_garment|waist|headwear|footwear,true,gm_gm001,gm_gm004,gm_gm016,,,gm_ac001,,,gm_hw001,,,,,,,gm_fw003,,,"CMB010,CMB011 (male; trousers R4; AC004 buckle = component of belt); CMB025,CMB046,CMB030 (female)",costume:CMB010|costume:CMB011|costume:CMB025|costume:CMB046|costume:CMB030,B,candidate
of_merchant_male_cool_any,nov_clothing_merchant_v1,merchant,"купец, торговец, приказчик",nov_role_local_merchant|nov_role_merchant_clerk|nov_role_merchant_guest,male,young_adult|adult|middle_aged|old,spring|spring_rasputitsa|autumn,any,middle|high,serviceable,base_garment|lower_garment|outer_garment|cloak|waist|headwear|foot_layer|footwear,true,gm_gm001,gm_gm004,gm_gm016,,gm_gm010,gm_ac001,,,gm_hw001,,,,,gm_fw016,,gm_fw007,,,"CMB010,CMB011 (male; trousers R4; AC004 buckle = component of belt); CMB025,CMB046,CMB030 (female)",costume:CMB010|costume:CMB011|costume:CMB025|costume:CMB046|costume:CMB030,B,candidate
of_merchant_male_cold_any,nov_clothing_merchant_v1,merchant,"купец, торговец, приказчик",nov_role_local_merchant|nov_role_merchant_clerk|nov_role_merchant_guest,male,young_adult|adult|middle_aged|old,winter,any,middle|high,serviceable,base_garment|lower_garment|outer_garment|over_garment_winter|cloak|waist|headwear|foot_layer|footwear,true,gm_gm001,gm_gm005,gm_gm016,gm_gm009,gm_gm012,gm_ac001,,,gm_hw004,,,,,gm_fw015,,gm_fw007,,,"CMB010,CMB011 (male; trousers R4; AC004 buckle = component of belt); CMB025,CMB046,CMB030 (female)",costume:CMB010|costume:CMB011|costume:CMB025|costume:CMB046|costume:CMB030,B,candidate
of_merchant_female_warm_married,nov_clothing_merchant_v1,merchant,"купец, торговец, приказчик",nov_role_local_merchant|nov_role_merchant_clerk|nov_role_merchant_guest,female,young_adult|adult|middle_aged|old,summer,married,middle|high,serviceable,base_garment|outer_garment|waist|headwear|head_under|footwear,true,gm_gf001,,gm_gf003,,,gm_ac001,,,gm_hw007,gm_hw006,,,,,,gm_fw003,,,"CMB010,CMB011 (male; trousers R4; AC004 buckle = component of belt); CMB025,CMB046,CMB030 (female)",costume:CMB010|costume:CMB011|costume:CMB025|costume:CMB046|costume:CMB030,B,candidate
of_merchant_female_warm_unmarried,nov_clothing_merchant_v1,merchant,"купец, торговец, приказчик",nov_role_local_merchant|nov_role_merchant_clerk|nov_role_merchant_guest,female,young_adult|adult|middle_aged|old,summer,unmarried,middle|high,serviceable,base_garment|outer_garment|waist|headwear|footwear,false,gm_gf001,,gm_gf003,,,gm_ac001,,,gm_hw010,,,,,,,gm_fw003,,,"CMB010,CMB011 (male; trousers R4; AC004 buckle = component of belt); CMB025,CMB046,CMB030 (female)",costume:CMB010|costume:CMB011|costume:CMB025|costume:CMB046|costume:CMB030,B,candidate
of_merchant_female_cool_married,nov_clothing_merchant_v1,merchant,"купец, торговец, приказчик",nov_role_local_merchant|nov_role_merchant_clerk|nov_role_merchant_guest,female,young_adult|adult|middle_aged|old,spring|spring_rasputitsa|autumn,married,middle|high,serviceable,base_garment|outer_garment|cloak|waist|headwear|head_under|foot_layer|footwear,true,gm_gf001,,gm_gf003,,gm_gf006,gm_ac001,,,gm_hw007,gm_hw006,,,,gm_fw016,,gm_fw002,,,"CMB010,CMB011 (male; trousers R4; AC004 buckle = component of belt); CMB025,CMB046,CMB030 (female)",costume:CMB010|costume:CMB011|costume:CMB025|costume:CMB046|costume:CMB030,B,candidate
of_merchant_female_cool_unmarried,nov_clothing_merchant_v1,merchant,"купец, торговец, приказчик",nov_role_local_merchant|nov_role_merchant_clerk|nov_role_merchant_guest,female,young_adult|adult|middle_aged|old,spring|spring_rasputitsa|autumn,unmarried,middle|high,serviceable,base_garment|outer_garment|cloak|waist|headwear|foot_layer|footwear,false,gm_gf001,,gm_gf003,,gm_gf006,gm_ac001,,,gm_hw010,,,,,gm_fw016,,gm_fw002,,,"CMB010,CMB011 (male; trousers R4; AC004 buckle = component of belt); CMB025,CMB046,CMB030 (female)",costume:CMB010|costume:CMB011|costume:CMB025|costume:CMB046|costume:CMB030,B,candidate
of_merchant_female_cold_married,nov_clothing_merchant_v1,merchant,"купец, торговец, приказчик",nov_role_local_merchant|nov_role_merchant_clerk|nov_role_merchant_guest,female,young_adult|adult|middle_aged|old,winter,married,middle|high,serviceable,base_garment|outer_garment|over_garment_winter|waist|headwear|head_under|foot_layer|insole|footwear,true,gm_gf001,,gm_gf003,gm_gf008,,gm_ac001,,,gm_hw011,gm_hw006,,,,gm_fw015,gm_fw013,gm_fw007,,,"CMB010,CMB011 (male; trousers R4; AC004 buckle = component of belt); CMB025,CMB046,CMB030 (female)",costume:CMB010|costume:CMB011|costume:CMB025|costume:CMB046|costume:CMB030,B,candidate
of_merchant_female_cold_unmarried,nov_clothing_merchant_v1,merchant,"купец, торговец, приказчик",nov_role_local_merchant|nov_role_merchant_clerk|nov_role_merchant_guest,female,young_adult|adult|middle_aged|old,winter,unmarried,middle|high,serviceable,base_garment|outer_garment|over_garment_winter|waist|headwear|foot_layer|insole|footwear,false,gm_gf001,,gm_gf003,gm_gf008,,gm_ac001,,,gm_hw010,,,,,gm_fw015,gm_fw013,gm_fw007,,,"CMB010,CMB011 (male; trousers R4; AC004 buckle = component of belt); CMB025,CMB046,CMB030 (female)",costume:CMB010|costume:CMB011|costume:CMB025|costume:CMB046|costume:CMB030,B,candidate
of_wealthy_male_warm_any,nov_clothing_wealthy_v1,wealthy,зажиточный горожанин / служилый человек,nov_role_bishop_man|nov_role_city_elder|nov_role_princely_man|nov_role_sotsky|nov_role_toll_collector,male,young_adult|adult|middle_aged|old,summer,any,high,serviceable,base_garment|lower_garment|outer_garment|waist|footwear,true,gm_gm001,gm_gm004,gm_gm016,,,gm_ac005,,,,,,,,,,gm_fw005,,,CMB012 (male; trousers R4); CMB026 (female); winter R2 with status shuba GM009/GF007,costume:CMB012|costume:CMB026,B,candidate
of_wealthy_male_cool_any,nov_clothing_wealthy_v1,wealthy,зажиточный горожанин / служилый человек,nov_role_bishop_man|nov_role_city_elder|nov_role_princely_man|nov_role_sotsky|nov_role_toll_collector,male,young_adult|adult|middle_aged|old,spring|spring_rasputitsa|autumn,any,high,serviceable,base_garment|lower_garment|outer_garment|cloak|waist|headwear|foot_layer|footwear,true,gm_gm001,gm_gm004,gm_gm016,,gm_gm010,gm_ac005,,,gm_hw001,,,,,gm_fw016,,gm_fw007,,,CMB012 (male; trousers R4); CMB026 (female); winter R2 with status shuba GM009/GF007,costume:CMB012|costume:CMB026,B,candidate
of_wealthy_male_cold_any,nov_clothing_wealthy_v1,wealthy,зажиточный горожанин / служилый человек,nov_role_bishop_man|nov_role_city_elder|nov_role_princely_man|nov_role_sotsky|nov_role_toll_collector,male,young_adult|adult|middle_aged|old,winter,any,high,serviceable,base_garment|lower_garment|outer_garment|over_garment_winter|cloak|waist|headwear|foot_layer|footwear,true,gm_gm001,gm_gm005,gm_gm016,gm_gm009,gm_gm010,gm_ac005,,,gm_hw004,,,,,gm_fw015,,gm_fw007,,,CMB012 (male; trousers R4); CMB026 (female); winter R2 with status shuba GM009/GF007,costume:CMB012|costume:CMB026,B,candidate
of_wealthy_female_warm_married,nov_clothing_wealthy_v1,wealthy,зажиточный горожанин / служилый человек,nov_role_bishop_man|nov_role_city_elder|nov_role_princely_man|nov_role_sotsky|nov_role_toll_collector,female,young_adult|adult|middle_aged|old,summer,married,high,serviceable,base_garment|outer_garment|waist|headwear|head_under|footwear,true,gm_gf001,,gm_gf005,,,gm_ac005,,,gm_hw007,gm_hw006,,,,,,gm_fw005,,,CMB012 (male; trousers R4); CMB026 (female); winter R2 with status shuba GM009/GF007,costume:CMB012|costume:CMB026,B,candidate
of_wealthy_female_warm_unmarried,nov_clothing_wealthy_v1,wealthy,зажиточный горожанин / служилый человек,nov_role_bishop_man|nov_role_city_elder|nov_role_princely_man|nov_role_sotsky|nov_role_toll_collector,female,young_adult|adult|middle_aged|old,summer,unmarried,high,serviceable,base_garment|outer_garment|waist|headwear|footwear,false,gm_gf001,,gm_gf005,,,gm_ac005,,,gm_hw010,,,,,,,gm_fw005,,,CMB012 (male; trousers R4); CMB026 (female); winter R2 with status shuba GM009/GF007,costume:CMB012|costume:CMB026,B,candidate
of_wealthy_female_cool_married,nov_clothing_wealthy_v1,wealthy,зажиточный горожанин / служилый человек,nov_role_bishop_man|nov_role_city_elder|nov_role_princely_man|nov_role_sotsky|nov_role_toll_collector,female,young_adult|adult|middle_aged|old,spring|spring_rasputitsa|autumn,married,high,serviceable,base_garment|outer_garment|cloak|waist|headwear|head_under|foot_layer|footwear,true,gm_gf001,,gm_gf005,,gm_gf006,gm_ac005,,,gm_hw007,gm_hw006,,,,gm_fw016,,gm_fw007,,,CMB012 (male; trousers R4); CMB026 (female); winter R2 with status shuba GM009/GF007,costume:CMB012|costume:CMB026,B,candidate
of_wealthy_female_cool_unmarried,nov_clothing_wealthy_v1,wealthy,зажиточный горожанин / служилый человек,nov_role_bishop_man|nov_role_city_elder|nov_role_princely_man|nov_role_sotsky|nov_role_toll_collector,female,young_adult|adult|middle_aged|old,spring|spring_rasputitsa|autumn,unmarried,high,serviceable,base_garment|outer_garment|cloak|waist|headwear|foot_layer|footwear,false,gm_gf001,,gm_gf005,,gm_gf006,gm_ac005,,,gm_hw010,,,,,gm_fw016,,gm_fw007,,,CMB012 (male; trousers R4); CMB026 (female); winter R2 with status shuba GM009/GF007,costume:CMB012|costume:CMB026,B,candidate
of_wealthy_female_cold_married,nov_clothing_wealthy_v1,wealthy,зажиточный горожанин / служилый человек,nov_role_bishop_man|nov_role_city_elder|nov_role_princely_man|nov_role_sotsky|nov_role_toll_collector,female,young_adult|adult|middle_aged|old,winter,married,high,serviceable,base_garment|outer_garment|over_garment_winter|waist|headwear|head_under|foot_layer|insole|footwear,true,gm_gf001,,gm_gf005,gm_gf007,,gm_ac005,,,gm_hw011,gm_hw006,,,,gm_fw015,gm_fw013,gm_fw007,,,CMB012 (male; trousers R4); CMB026 (female); winter R2 with status shuba GM009/GF007,costume:CMB012|costume:CMB026,B,candidate
of_wealthy_female_cold_unmarried,nov_clothing_wealthy_v1,wealthy,зажиточный горожанин / служилый человек,nov_role_bishop_man|nov_role_city_elder|nov_role_princely_man|nov_role_sotsky|nov_role_toll_collector,female,young_adult|adult|middle_aged|old,winter,unmarried,high,serviceable,base_garment|outer_garment|over_garment_winter|waist|headwear|foot_layer|insole|footwear,false,gm_gf001,,gm_gf005,gm_gf007,,gm_ac005,,,gm_hw010,,,,,gm_fw015,gm_fw013,gm_fw007,,,CMB012 (male; trousers R4); CMB026 (female); winter R2 with status shuba GM009/GF007,costume:CMB012|costume:CMB026,B,candidate
of_elite_male_warm_any,nov_clothing_elite_v1,elite,"боярин, князь, высшая власть",nov_role_boyar|nov_role_boyar_house_mistress|nov_role_posadnik|nov_role_prince|nov_role_tysyatsky,male,young_adult|adult|middle_aged|old,summer,any,elite,serviceable,base_garment|lower_garment|outer_garment|cloak|waist|footwear,true,gm_gm001,gm_gm004,gm_gm016,,gm_gm010,gm_ac005,,,,,,,,,,gm_fw006,,,"CMB013 (male; GM017 trim as decoration of GM016; korzno from sqlite material_culture B); CMB027 (female; FW009 burial boot replaced by FW005, GF010 trim as decoration)",costume:CMB013|costume:CMB027|sqlite:material_culture,B,candidate
of_elite_male_cool_any,nov_clothing_elite_v1,elite,"боярин, князь, высшая власть",nov_role_boyar|nov_role_boyar_house_mistress|nov_role_posadnik|nov_role_prince|nov_role_tysyatsky,male,young_adult|adult|middle_aged|old,spring|spring_rasputitsa|autumn,any,elite,serviceable,base_garment|lower_garment|outer_garment|cloak|waist|headwear|foot_layer|footwear,true,gm_gm001,gm_gm004,gm_gm016,,gm_new_korzno,gm_ac005,,,gm_hw001,,,,,gm_fw016,,gm_fw007,,,"CMB013 (male; GM017 trim as decoration of GM016; korzno from sqlite material_culture B); CMB027 (female; FW009 burial boot replaced by FW005, GF010 trim as decoration)",costume:CMB013|costume:CMB027|sqlite:material_culture,B,candidate
of_elite_male_cold_any,nov_clothing_elite_v1,elite,"боярин, князь, высшая власть",nov_role_boyar|nov_role_boyar_house_mistress|nov_role_posadnik|nov_role_prince|nov_role_tysyatsky,male,young_adult|adult|middle_aged|old,winter,any,elite,serviceable,base_garment|lower_garment|outer_garment|over_garment_winter|cloak|waist|headwear|foot_layer|footwear,true,gm_gm001,gm_gm005,gm_gm016,gm_gm009,gm_new_korzno,gm_ac005,,,gm_hw004,,,,,gm_fw015,,gm_fw007,,,"CMB013 (male; GM017 trim as decoration of GM016; korzno from sqlite material_culture B); CMB027 (female; FW009 burial boot replaced by FW005, GF010 trim as decoration)",costume:CMB013|costume:CMB027|sqlite:material_culture,B,candidate
of_elite_female_warm_married,nov_clothing_elite_v1,elite,"боярин, князь, высшая власть",nov_role_boyar|nov_role_boyar_house_mistress|nov_role_posadnik|nov_role_prince|nov_role_tysyatsky,female,young_adult|adult|middle_aged|old,summer,married,elite,serviceable,base_garment|outer_garment|waist|headwear|head_under|footwear,true,gm_gf001,,gm_gf005,,,gm_ac005,,,gm_hw007,gm_hw006,,,,,,gm_fw005,,,"CMB013 (male; GM017 trim as decoration of GM016; korzno from sqlite material_culture B); CMB027 (female; FW009 burial boot replaced by FW005, GF010 trim as decoration)",costume:CMB013|costume:CMB027|sqlite:material_culture,B,candidate
of_elite_female_warm_unmarried,nov_clothing_elite_v1,elite,"боярин, князь, высшая власть",nov_role_boyar|nov_role_boyar_house_mistress|nov_role_posadnik|nov_role_prince|nov_role_tysyatsky,female,young_adult|adult|middle_aged|old,summer,unmarried,elite,serviceable,base_garment|outer_garment|waist|headwear|footwear,false,gm_gf001,,gm_gf005,,,gm_ac005,,,gm_hw010,,,,,,,gm_fw005,,,"CMB013 (male; GM017 trim as decoration of GM016; korzno from sqlite material_culture B); CMB027 (female; FW009 burial boot replaced by FW005, GF010 trim as decoration)",costume:CMB013|costume:CMB027|sqlite:material_culture,B,candidate
of_elite_female_cool_married,nov_clothing_elite_v1,elite,"боярин, князь, высшая власть",nov_role_boyar|nov_role_boyar_house_mistress|nov_role_posadnik|nov_role_prince|nov_role_tysyatsky,female,young_adult|adult|middle_aged|old,spring|spring_rasputitsa|autumn,married,elite,serviceable,base_garment|outer_garment|cloak|waist|headwear|head_under|foot_layer|footwear,true,gm_gf001,,gm_gf005,,gm_gf006,gm_ac005,,,gm_hw007,gm_hw006,,,,gm_fw016,,gm_fw007,,,"CMB013 (male; GM017 trim as decoration of GM016; korzno from sqlite material_culture B); CMB027 (female; FW009 burial boot replaced by FW005, GF010 trim as decoration)",costume:CMB013|costume:CMB027|sqlite:material_culture,B,candidate
of_elite_female_cool_unmarried,nov_clothing_elite_v1,elite,"боярин, князь, высшая власть",nov_role_boyar|nov_role_boyar_house_mistress|nov_role_posadnik|nov_role_prince|nov_role_tysyatsky,female,young_adult|adult|middle_aged|old,spring|spring_rasputitsa|autumn,unmarried,elite,serviceable,base_garment|outer_garment|cloak|waist|headwear|foot_layer|footwear,false,gm_gf001,,gm_gf005,,gm_gf006,gm_ac005,,,gm_hw010,,,,,gm_fw016,,gm_fw007,,,"CMB013 (male; GM017 trim as decoration of GM016; korzno from sqlite material_culture B); CMB027 (female; FW009 burial boot replaced by FW005, GF010 trim as decoration)",costume:CMB013|costume:CMB027|sqlite:material_culture,B,candidate
of_elite_female_cold_married,nov_clothing_elite_v1,elite,"боярин, князь, высшая власть",nov_role_boyar|nov_role_boyar_house_mistress|nov_role_posadnik|nov_role_prince|nov_role_tysyatsky,female,young_adult|adult|middle_aged|old,winter,married,elite,serviceable,base_garment|outer_garment|over_garment_winter|cloak|waist|headwear|head_under|foot_layer|insole|footwear,true,gm_gf001,,gm_gf005,gm_gf007,gm_gf006,gm_ac005,,,gm_hw011,gm_hw006,,,,gm_fw015,gm_fw013,gm_fw007,,,"CMB013 (male; GM017 trim as decoration of GM016; korzno from sqlite material_culture B); CMB027 (female; FW009 burial boot replaced by FW005, GF010 trim as decoration)",costume:CMB013|costume:CMB027|sqlite:material_culture,B,candidate
of_elite_female_cold_unmarried,nov_clothing_elite_v1,elite,"боярин, князь, высшая власть",nov_role_boyar|nov_role_boyar_house_mistress|nov_role_posadnik|nov_role_prince|nov_role_tysyatsky,female,young_adult|adult|middle_aged|old,winter,unmarried,elite,serviceable,base_garment|outer_garment|over_garment_winter|cloak|waist|headwear|foot_layer|insole|footwear,false,gm_gf001,,gm_gf005,gm_gf007,gm_gf006,gm_ac005,,,gm_hw010,,,,,gm_fw015,gm_fw013,gm_fw007,,,"CMB013 (male; GM017 trim as decoration of GM016; korzno from sqlite material_culture B); CMB027 (female; FW009 burial boot replaced by FW005, GF010 trim as decoration)",costume:CMB013|costume:CMB027|sqlite:material_culture,B,candidate
of_warrior_male_warm_any,nov_clothing_warrior_v1,warrior,дружинник/страж вне боя,nov_role_druzhina_companion|nov_role_junior_druzhinnik|nov_role_princely_druzhinnik,male,young_adult|adult|middle_aged|old,summer,any,middle|high,serviceable,base_garment|lower_garment|waist|footwear,true,gm_gm001,gm_gm004,,,,gm_ac001,,,,,,,,,,gm_fw002,,,"CMB014 off-duty (sword belt/knife/armour excluded R7; FW007 not summer → FW002 in warm); CMB019 winter (AR036 cloak, FW015)",costume:CMB014|costume:CMB019,B,candidate
of_warrior_male_cool_any,nov_clothing_warrior_v1,warrior,дружинник/страж вне боя,nov_role_druzhina_companion|nov_role_junior_druzhinnik|nov_role_princely_druzhinnik,male,young_adult|adult|middle_aged|old,spring|spring_rasputitsa|autumn,any,middle|high,serviceable,base_garment|lower_garment|outer_garment|cloak|waist|headwear|foot_layer|footwear,true,gm_gm001,gm_gm004,gm_gm003,,gm_gm010,gm_ac001,,,gm_hw001,,,,,gm_fw016,,gm_fw007,,,"CMB014 off-duty (sword belt/knife/armour excluded R7; FW007 not summer → FW002 in warm); CMB019 winter (AR036 cloak, FW015)",costume:CMB014|costume:CMB019,B,candidate
of_warrior_male_cold_any,nov_clothing_warrior_v1,warrior,дружинник/страж вне боя,nov_role_druzhina_companion|nov_role_junior_druzhinnik|nov_role_princely_druzhinnik,male,young_adult|adult|middle_aged|old,winter,any,middle|high,serviceable,base_garment|lower_garment|outer_garment|over_garment_winter|cloak|waist|headwear|foot_layer|footwear,true,gm_gm001,gm_gm005,gm_gm003,gm_gm008,gm_ar036,gm_ac001,,,gm_hw003,,,,,gm_fw015,,gm_fw007,,,"CMB014 off-duty (sword belt/knife/armour excluded R7; FW007 not summer → FW002 in warm); CMB019 winter (AR036 cloak, FW015)",costume:CMB014|costume:CMB019,B,candidate
of_priest_male_warm_any,nov_clothing_priest_v1,priest,белое духовенство и причт,nov_role_church_scribe|nov_role_deacon|nov_role_ponomar|nov_role_priest,male,young_adult|adult|middle_aged|old,summer,any,middle,serviceable,base_garment|lower_garment|outer_garment|waist|footwear,true,gm_gm001,gm_gm004,gm_cl001,,,gm_ac001,,,,,,,,,,gm_fw002,,,"CMB020 (C; cross AC017 → adornment); risovalka §13 ponomar; R3,R4; winter R6",costume:CMB020|risovalka|claim:clothing-shirt-principal-garment,C,candidate
of_priest_male_cool_any,nov_clothing_priest_v1,priest,белое духовенство и причт,nov_role_church_scribe|nov_role_deacon|nov_role_ponomar|nov_role_priest,male,young_adult|adult|middle_aged|old,spring|spring_rasputitsa|autumn,any,middle,serviceable,base_garment|lower_garment|outer_garment|cloak|waist|headwear|foot_layer|footwear,true,gm_gm001,gm_gm004,gm_cl001,,gm_gm010,gm_ac001,,,gm_hw001,,,,,gm_fw016,,gm_fw002,,,"CMB020 (C; cross AC017 → adornment); risovalka §13 ponomar; R3,R4; winter R6",costume:CMB020|risovalka|claim:clothing-shirt-principal-garment,C,candidate
of_priest_male_cold_any,nov_clothing_priest_v1,priest,белое духовенство и причт,nov_role_church_scribe|nov_role_deacon|nov_role_ponomar|nov_role_priest,male,young_adult|adult|middle_aged|old,winter,any,middle,serviceable,base_garment|lower_garment|outer_garment|over_garment_winter|waist|headwear|insole|footwear,true,gm_gm001,gm_gm005,gm_cl001,gm_gm008,,gm_ac001,,,gm_hw003,,,,,,gm_fw013,gm_fw007,,,"CMB020 (C; cross AC017 → adornment); risovalka §13 ponomar; R3,R4; winter R6",costume:CMB020|risovalka|claim:clothing-shirt-principal-garment,C,candidate
of_monastic_male_warm_any,nov_clothing_monastic_v1,monastic,монашество (включая владыку и игумена в быту),nov_role_archbishop|nov_role_igumen|nov_role_monk|nov_role_novice,male,young_adult|adult|middle_aged|old,summer,any,middle,serviceable,base_garment|lower_garment|outer_garment|waist|headwear|footwear,true,gm_gm001,gm_gm004,gm_cl002,,,gm_ac002,,,gm_hw013,,,,,,,gm_fw002,,,"CMB023 monk/nun (C; CL003 mantle only in cold: its season_scope); R3,R4; winter R6",costume:CMB023|claim:clothing-shirt-principal-garment,C,candidate
of_monastic_male_cool_any,nov_clothing_monastic_v1,monastic,монашество (включая владыку и игумена в быту),nov_role_archbishop|nov_role_igumen|nov_role_monk|nov_role_novice,male,young_adult|adult|middle_aged|old,spring|spring_rasputitsa|autumn,any,middle,serviceable,base_garment|lower_garment|outer_garment|waist|headwear|foot_layer|footwear,true,gm_gm001,gm_gm004,gm_cl002,,,gm_ac002,,,gm_hw013,,,,,gm_fw016,,gm_fw004,,,"CMB023 monk/nun (C; CL003 mantle only in cold: its season_scope); R3,R4; winter R6",costume:CMB023|claim:clothing-shirt-principal-garment,C,candidate
of_monastic_male_cold_any,nov_clothing_monastic_v1,monastic,монашество (включая владыку и игумена в быту),nov_role_archbishop|nov_role_igumen|nov_role_monk|nov_role_novice,male,young_adult|adult|middle_aged|old,winter,any,middle,serviceable,base_garment|lower_garment|outer_garment|over_garment_winter|cloak|waist|headwear|foot_layer|footwear,true,gm_gm001,gm_gm005,gm_cl002,gm_gm008,gm_cl003,gm_ac002,,,gm_hw013,,,,,gm_fw015,,gm_fw007,,,"CMB023 monk/nun (C; CL003 mantle only in cold: its season_scope); R3,R4; winter R6",costume:CMB023|claim:clothing-shirt-principal-garment,C,candidate
of_monastic_female_warm_monastic,nov_clothing_monastic_v1,monastic,монашество (включая владыку и игумена в быту),nov_role_archbishop|nov_role_igumen|nov_role_monk|nov_role_novice,female,young_adult|adult|middle_aged|old,summer,monastic,middle,serviceable,base_garment|outer_garment|waist|headwear|footwear,true,gm_gf001,,gm_cl002,,,gm_ac002,,,gm_hw013,,,,,,,gm_fw002,,,"CMB023 monk/nun (C; CL003 mantle only in cold: its season_scope); R3,R4; winter R6",costume:CMB023|claim:clothing-shirt-principal-garment,C,candidate
