tl_id,name_ru,name_en,craft_group,category_id,category_status,item_template_ref,wk_concept_ref,matcult_refs,material,material_class,size_class,mass_band,mass_band_range,mass_basis,mass_attested,v5_policy_mass_g,v5_policy_band,used_in_process_refs,used_by_occupations,in_workshops,workplace_pf_id,condition_states,mark_slots,region_id,source_refs,confidence,status,note
tl_mould_clay,глиняная литейная форма,clay casting mould,casting_jewelry,cat_item_object_mould_clay_v1,proposed_new,,wk:material_culture:casting-mould,CRF0022,mt_clay_refractory,clay,tiny,M0,<50 г,rule:clayxtiny,,,,pc_nonferrous_casting,,ws_jeweler_caster,ordinary_workshop,intact;chipped;cracked;broken,wear_pattern,,claim:casting-casting-mould;src:matcult-catalog-v1,B,candidate,"Разовые формы, в т. ч. по восковой модели."
tl_jeweler_anvil,ювелирная наковаленка с рогом,jeweler horned anvil,casting_jewelry,cat_item_object_jeweler_anvil_v1,proposed_new,,wk:material_culture:anvil,,mt_iron;mt_steel,metal,hand,M2,"300 г–1,5 кг",attested,"1460 г, высота 112 мм (1 экз., XII в.)",,,pc_wire_filigree;pc_sheet_embossing,,ws_jeweler_caster,ordinary_workshop,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,src:kolchin1959-iron,B,candidate,
tl_jeweler_hammer,ювелирный молоточек,jeweler hammer,casting_jewelry,cat_item_object_hammer_v1,existing_v5,item_tpl_nov_hammer_v1,wk:material_culture:smith-hammer,CRF0153,mt_iron;mt_steel;mt_wood_generic,metal,hand,M0,<50 г,attested,"33–34 г, длина 61–70 мм (2 экз.)",800,M2,pc_wire_filigree;pc_sheet_embossing,,ws_jeweler_caster,ordinary_workshop,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,src:kolchin1959-iron,B,candidate,"Возможно, это масса головки без рукояти — сверить с МИА 65."
tl_jeweler_pliers,ювелирные щипцы и пинцеты,jeweler pliers and tweezers,casting_jewelry,cat_item_object_jeweler_pliers_v1,proposed_new,,,CRF0151,mt_iron,metal,hand,M1,50–300 г,rule:metalxhand,щипцы 162–357 мм (4+ экз.); пинцеты 60–120 мм (15 экз.),,,pc_wire_filigree;pc_sheet_embossing,,ws_jeweler_caster,ordinary_workshop,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,src:kolchin1959-iron,B,candidate,
tl_chasing_punch,чекан и пуансон,chasing tool and punch,casting_jewelry,cat_item_object_chasing_punch_v1,proposed_new,,,CRF0150,mt_steel,metal,hand,M1,50–300 г,rule:metalxhand,,,,pc_sheet_embossing;pc_seal_matrix,,ws_jeweler_caster,ordinary_workshop,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,src:matcult-catalog-v1;src:sedova1981-jewelry,B,candidate,
tl_embossing_die,матрица для тиснения,embossing die,casting_jewelry,cat_item_object_embossing_die_v1,proposed_new,,,CRF0045,mt_bronze;mt_iron,metal,hand,M1,50–300 г,rule:metalxhand,,,,pc_sheet_embossing,,ws_jeweler_caster,ordinary_workshop,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,src:matcult-catalog-v1;src:sedova1981-jewelry,B,candidate,
tl_draw_plate,волочильная доска,draw plate,casting_jewelry,cat_item_object_draw_plate_v1,proposed_new,,,CRF0145,mt_steel,metal,hand,M1,50–300 г,rule:metalxhand,,,,pc_wire_filigree,,ws_jeweler_caster,ordinary_workshop,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,src:matcult-catalog-v1;src:master-technology-v1,C,candidate,"Ручная доска допустима, машина — нет (master restricted wire_mill)."
tl_jeweler_scales,малые весы и гирьки,small balance and weights,casting_jewelry,cat_item_object_folding_balance_v1,existing_v5,item_tpl_nov_folding_balance_v1,,CRF0147;CRF0148,mt_bronze;mt_lead,metal,hand,M1,50–300 г,rule:metalxhand,,300,M2,pc_nonferrous_casting,nov_occ_toll_dues_collector;nov_occ_boyar_yard_manager;nov_occ_long_distance_merchant;nov_occ_local_trader;nov_occ_market_stall_seller;nov_occ_merchant_clerk;nov_occ_measurer_weigher;nov_occ_monastery_steward,ws_jeweler_caster,ordinary_workshop,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,claim:trade-economy-balance-scale-repeatability-depends-on-components-condition-and-repeated-comparison-not-unknown-standard;src:matcult-catalog-v1,A,candidate,Также у торговцев и весовщиков.
tl_burnisher,"гладилка, полировальник",burnisher,casting_jewelry,cat_item_object_burnisher_v1,proposed_new,,,CRF0019,mt_bone;mt_fieldstone,light,hand,M0,<50 г,rule:lightxhand,,,,pc_nonferrous_casting;pc_lost_wax_casting,,ws_jeweler_caster,ordinary_workshop,serviceable;worn;frayed_or_torn;wet;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,src:matcult-catalog-v1,B,candidate,
tl_blowpipe,паяльная трубка,blowpipe,casting_jewelry,cat_item_object_blowpipe_v1,proposed_new,,,,mt_clay_refractory;mt_iron,clay,hand,M1,50–300 г,rule:clayxhand,,,,pc_nonferrous_casting;pc_wire_filigree,,ws_jeweler_caster,ordinary_workshop,intact;chipped;cracked;broken,wear_pattern,,src:ethno-analogy,C,candidate,Для пайки филиграни; прямая находка в Новгороде не выписана.
tl_fleshing_knife,"кожевенный скребок, мездряк",fleshing scraper,leather,cat_item_object_scraper_v1,existing_v5,item_tpl_nov_scraper_v1,,CRF0112;HNT0027,mt_iron;mt_wood_generic,metal,long_hand,M2,"300 г–1,5 кг",rule:metalxlong_hand,,200,M1,pc_tanning_bark;pc_rawhide;wk:craft_technology:leatherworking,nov_occ_leatherworker;nov_occ_hunter_trapper,ws_tannery,ordinary_workshop,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,src:izumova1959-leather,B,candidate,Изюмова: железные тёсла-скребки с прямым лезвием для мездрения.
tl_beam,кожевенная колода (балка),tanner beam,leather,cat_item_object_beam_v1,proposed_new,,,CRF0111,mt_wood_generic,wood,fixture,M4,5–25 кг,rule:woodxfixture,,,,pc_tanning_bark;pc_rawhide,nov_occ_leatherworker,ws_tannery,ordinary_workshop,serviceable;worn;cracked;warped;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,src:matcult-catalog-v1,C,candidate,
tl_liming_vat,"зольник, чан для золки и дубления",liming and tanning vat,leather,cat_item_object_trough_v1,existing_v5,item_tpl_nov_trough_v1,,CRF0110,mt_wood_generic,wood,fixture,M4,5–25 кг,rule:woodxfixture,,8000,M4,pc_tanning_bark,nov_occ_leatherworker,ws_tannery,ordinary_workshop,serviceable;worn;cracked;warped;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,src:izumova1959-leather,B,candidate,Прямоугольные деревянные ящики для золки с XII в.; зольные ямы.
tl_leather_press,кожемялка,leather softening press,leather,cat_item_object_leather_press_v1,proposed_new,,,,mt_wood_generic,wood,fixture,M4,5–25 кг,rule:woodxfixture,,,,pc_tanning_bark;pc_rawhide,nov_occ_leatherworker,ws_tannery,ordinary_workshop,serviceable;worn;cracked;warped;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,src:izumova1959-leather,B,candidate,Находка XI в. в Старой Ладоге (аналогия для Новгорода).
tl_drying_frame,рама для растяжки и сушки кожи,stretching frame,leather,cat_item_object_drying_frame_v1,proposed_new,,,CRF0084;HNT0020,mt_wood_generic;mt_cordage,wood,fixture,M4,5–25 кг,rule:woodxfixture,,,,pc_tanning_bark;pc_rawhide,nov_occ_leatherworker;nov_occ_hunter_trapper,ws_tannery,town_courtyard,serviceable;worn;cracked;warped;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,src:matcult-catalog-v1,C,candidate,
tl_shoe_knife,"сапожный нож (усморезный, полукруглый)",shoemaker knife,shoemaking,cat_item_object_utility_knife_v1,existing_v5,item_tpl_nov_utility_knife_v1,wk:material_culture:cutting-tool,CRF0075;CRF0076,mt_iron;mt_steel;mt_wood_generic,metal,hand,M1,50–300 г,rule:metalxhand,,400,M2,pc_shoemaking;pc_shoe_repair;pc_leather_goods,nov_occ_shoemaker,ws_shoemaker,ordinary_workshop,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern;weld_seam_visible,,src:izumova1959-leather,B,candidate,Широкое округлое лезвие.
tl_awl,"шило (прямое, кривое)",awl,shoemaking,cat_item_object_awl_v1,existing_v5,item_tpl_nov_awl_v1,wk:material_culture:piercing-tool,CRF0073;CRF0074;CRF0106,mt_iron;mt_wood_generic,metal,hand,M1,50–300 г,rule:metalxhand,,50,M1,pc_shoemaking;pc_shoe_repair;pc_net_making;pc_bark_float;pc_ownership_mark;pc_leather_goods,nov_occ_shoemaker,ws_shoemaker;ws_net_shore,ordinary_workshop,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,claim:population-bark-pierce;src:izumova1959-leather,A,candidate,
tl_last,сапожная колодка,shoe last,shoemaking,cat_item_object_last_v1,proposed_new,,wk:material_culture:wooden-last,CRF0109;CRF0077,mt_wood_generic,wood,hand,M1,50–300 г,rule:woodxhand,,,,pc_shoemaking;pc_shoe_repair,nov_occ_shoemaker,ws_shoemaker,ordinary_workshop,serviceable;worn;cracked;warped;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,claim:population-shoe-form;src:izumova1959-leather,A,candidate,~200 колодок: цельные и составные на шпеньках.
tl_leather_needle,игла для кожи (железная или костяная),leather needle,shoemaking,cat_item_object_sewing_needle_v1,existing_v5,item_tpl_nov_sewing_needle_v1,,CRF0050;CRF0107,mt_iron;mt_bone,metal,tiny,M0,<50 г,rule:metalxtiny,,2,M0,pc_shoemaking;pc_shoe_repair;pc_leather_goods,nov_occ_shoemaker,ws_shoemaker,ordinary_workshop,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,src:izumova1959-leather,A,candidate,
tl_wax_block,кусок воска для вощения нити,wax block,shoemaking,cat_item_object_beeswax_v1,existing_v5,item_tpl_nov_beeswax_v1,,CRF0108,mt_beeswax,light,tiny,M0,<50 г,rule:lightxtiny,,1,M0,pc_shoemaking;pc_leather_goods,nov_occ_shoemaker,ws_shoemaker,ordinary_workshop,serviceable;worn;frayed_or_torn;wet;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,src:izumova1959-leather,B,candidate,
tl_stamp_leather,штамп для тиснения кожи,leather stamp,shoemaking,cat_item_object_stamp_leather_v1,proposed_new,,,,mt_iron;mt_bone,metal,hand,M1,50–300 г,rule:metalxhand,,,,pc_shoemaking;pc_leather_goods,nov_occ_shoemaker,ws_shoemaker,ordinary_workshop,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,src:izumova1959-leather,B,candidate,Тиснёный декор ножен с XII в. (Изюмова через конспект).
tl_flax_brake,мялка,flax brake,textile_fibre,cat_item_object_flax_brake_v1,proposed_new,,,CRF0036,mt_wood_generic,wood,long,M3,"1,5–5 кг",rule:woodxlong,,,,pc_flax_fibre,nov_occ_ploughman,ws_fibre_yard,peasant_homestead,serviceable;worn;cracked;warped;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,claim:fibre-flax-breaker-shive,B,candidate,"Кудряшов: Луковец, не позднее конца XII в.; для Новгорода вывод."
tl_scutcher,трепало,scutching knife,textile_fibre,cat_item_object_scutcher_v1,proposed_new,,,CRF0128,mt_wood_generic,wood,long_hand,M2,"300 г–1,5 кг",rule:woodxlong_hand,,,,pc_flax_fibre,nov_occ_ploughman,ws_fibre_yard,peasant_homestead,serviceable;worn;cracked;warped;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,src:izumova1959-leather;src:matcult-catalog-v1,B,candidate,Льнотрепалки в перечне Изюмовой (через конспект).
tl_hackle,"чесало, гребень для волокна",hackle / fibre comb,textile_fibre,cat_item_object_fiber_comb_v1,existing_v5,item_tpl_nov_fiber_comb_v1,,CRF0127,mt_wood_generic;mt_iron,wood,long_hand,M2,"300 г–1,5 кг",rule:woodxlong_hand,,350,M2,pc_flax_fibre,,ws_fibre_yard,peasant_homestead,serviceable;worn;cracked;warped;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,claim:fibre-hackle-removes-shive,B,candidate,
tl_distaff,"прялка (лопасть, донце)",distaff,spinning,cat_item_object_distaff_v1,existing_v5,item_tpl_nov_distaff_v1,,CRF0028;CRF0135,mt_wood_generic,wood,long,M3,"1,5–5 кг",rule:woodxlong,,800,M2,pc_spinning;wk:craft_technology:spinning,nov_occ_weaver_cloth_worker,ws_weaver_house,dwelling_interior,serviceable;worn;cracked;warped;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,src:matcult-catalog-v1,C,candidate,Форма — осторожная реконструкция.
tl_spindle,веретено,spindle,spinning,cat_item_object_spindle_v1,existing_v5,item_tpl_nov_spindle_v1,,CRF0133,mt_wood_birch,wood,hand,M1,50–300 г,rule:woodxhand,,80,M1,pc_spinning;wk:craft_technology:spinning,nov_occ_weaver_cloth_worker,ws_weaver_house,dwelling_interior,serviceable;worn;cracked;warped;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,claim:practical-textile-spin;src:matcult-catalog-v1,A,candidate,
tl_spindle_whorl,"пряслице (глиняное, шиферное, костяное)",spindle whorl,spinning,cat_item_object_spindle_whorl_v1,existing_v5,item_tpl_nov_spindle_whorl_v1,wk:material_culture:clay-spindle-whorl,CRF0132;CRF0134,mt_slate_ovruch;mt_ceramic;mt_bone,stone,tiny,M0,<50 г,rule:stonextiny,,30,M0,pc_spinning;wk:craft_technology:spinning,nov_occ_weaver_cloth_worker,ws_weaver_house,dwelling_interior,serviceable;chipped;worn_groove;broken,owner_sign_or_inscription;wear_pattern,,claim:household-spindle-whorl;src:sedova1981-jewelry,A,candidate,Шиферные пряслица иногда с процарапанными надписями-знаками владелицы.
tl_reel,мотовило,reel,spinning,cat_item_object_reel_v1,proposed_new,,,CRF0139,mt_wood_generic,wood,long_hand,M2,"300 г–1,5 кг",rule:woodxlong_hand,,,,pc_spinning,,ws_weaver_house,dwelling_interior,serviceable;worn;cracked;warped;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,src:matcult-catalog-v1,C,candidate,
tl_loom,ткацкий стан (горизонтальный или вертикальный),loom,weaving,cat_item_object_loom_v1,proposed_new,,wk:material_culture:weaving-device-component,CRF0141;CRF0142,mt_wood_generic;mt_cordage,wood,fixture,M4,5–25 кг,rule:woodxfixture,,,,pc_weaving;wk:craft_technology:weaving,nov_occ_weaver_cloth_worker,ws_weaver_house,dwelling_interior,serviceable;worn;cracked;warped;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,claim:population-processes-weaving-device;claim:ordinary-life-weaver-needs-yarn-and-loom-space,B,candidate,WK: реконструкция горизонтального ткачества по деталям; тип стана по контексту (master restricted horizontal_treadle_loom_default).
tl_shuttle,челнок ткацкий,weaving shuttle,weaving,cat_item_object_weaving_shuttle_v1,existing_v5,item_tpl_nov_weaving_shuttle_v1,wk:material_culture:weaving-device-component,CRF0143,mt_wood_generic,wood,hand,M1,50–300 г,rule:woodxhand,,150,M1,pc_weaving;wk:craft_technology:weaving,nov_occ_weaver_cloth_worker,ws_weaver_house,dwelling_interior,serviceable;worn;cracked;warped;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,src:matcult-catalog-v1,B,candidate,
tl_weaving_sword,"ткацкий меч, прибивная дощечка",weaving sword,weaving,cat_item_object_weaving_sword_v1,proposed_new,,wk:material_culture:weaving-device-component,CRF0144,mt_wood_generic;mt_bone,wood,long_hand,M2,"300 г–1,5 кг",rule:woodxlong_hand,,,,pc_weaving,nov_occ_weaver_cloth_worker,ws_weaver_house,dwelling_interior,serviceable;worn;cracked;warped;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,src:matcult-catalog-v1,B,candidate,
tl_loom_weight,ткацкое грузило,loom weight,weaving,cat_item_object_loom_weight_v1,proposed_new,,,CRF0052,mt_ceramic;mt_fieldstone,clay,hand,M1,50–300 г,rule:clayxhand,,,,pc_weaving,,ws_weaver_house,dwelling_interior,intact;chipped;cracked;broken,wear_pattern,,src:matcult-catalog-v1,C,candidate,Только для вертикального стана.
tl_weaving_tablets,дощечки для тканья поясов,weaving tablets,weaving,cat_item_object_weaving_tablets_v1,proposed_new,,,CRF0083,mt_bone;mt_wood_generic,light,tiny,M0,<50 г,rule:lightxtiny,,,,,nov_occ_weaver_cloth_worker,ws_weaver_house,dwelling_interior,serviceable;worn;frayed_or_torn;wet;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,src:matcult-catalog-v1,B,candidate,
tl_reed_comb,бёрдо,reed (loom comb),weaving,cat_item_object_reed_comb_v1,proposed_new,,wk:material_culture:weaving-device-component,CRF0051,mt_wood_generic,wood,long_hand,M2,"300 г–1,5 кг",rule:woodxlong_hand,,,,pc_weaving,nov_occ_weaver_cloth_worker,ws_weaver_house,dwelling_interior,serviceable;worn;cracked;warped;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,src:matcult-catalog-v1,C,candidate,
tl_dye_pot,красильный котёл или чан,dye vat,dyeing,cat_item_object_metal_cauldron_v1,existing_v5,item_tpl_nov_metal_cauldron_v1,,CRF0032,mt_ceramic;mt_iron;mt_wood_generic,clay,long,M4,5–25 кг,rule:clayxlong,,5000,M4,pc_textile_dyeing;pc_wax_candle,nov_occ_weaver_cloth_worker,ws_dye_yard;ws_candle_wax,town_courtyard,intact;chipped;cracked;broken,wear_pattern,,claim:textile-dye-application;claim:place-dye-moving-submerged-textile-can-support-even-contact,C,candidate,
tl_sewing_needle,швейная игла,sewing needle,sewing,cat_item_object_sewing_needle_v1,existing_v5,item_tpl_nov_sewing_needle_v1,,CRF0086,mt_iron;mt_bone,metal,tiny,M0,<50 г,rule:metalxtiny,,2,M0,pc_sewing_mending,nov_occ_weaver_cloth_worker;nov_occ_tailor_mender,ws_weaver_house,dwelling_interior,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,claim:practical-textile-sew;src:kolchin1957-city,A,candidate,Игольники — среди кузнечных специальностей XII в. (Колчин 1957).
tl_shears,ножницы пружинные,spring shears,sewing,cat_item_object_shears_v1,existing_v5,item_tpl_nov_shears_v1,wk:material_culture:sheep-shears,CRF0140,mt_iron;mt_steel,metal,hand,M1,50–300 г,rule:metalxhand,,300,M2,pc_weaving;pc_sewing_mending,nov_occ_weaver_cloth_worker;nov_occ_tailor_mender;nov_occ_midwife_birth_helper,ws_weaver_house,dwelling_interior,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,claim:harvest-sheep-shearing-scissors;src:matcult-catalog-v1,A,candidate,Также для стрижки овец.
tl_potter_wheel,ручной гончарный круг,hand-turned potter wheel,pottery,cat_item_object_potter_wheel_v1,proposed_new,,,CRF0096,mt_wood_generic;mt_clay,wood,fixture,M4,5–25 кг,rule:woodxfixture,,,,pc_pottery_wheel,nov_occ_potter,ws_potter,ordinary_workshop,serviceable;worn;cracked;warped;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,claim:ceramic-novgorod-wheel;src:novgorod-museum-ceramics,B,candidate,"Круг в Новгороде с IX–X вв. (Арциховский, WK); ножной круг — спорен (denylist dl_foot_wheel)."
tl_clay_trough,корыто для замеса глины,clay mixing trough,pottery,cat_item_object_trough_v1,existing_v5,item_tpl_nov_trough_v1,,CRF0062,mt_wood_generic,wood,fixture,M4,5–25 кг,rule:woodxfixture,,8000,M4,pc_pottery_wheel;pc_lime_burning,nov_occ_potter,ws_potter;ws_lime_kiln,ordinary_workshop,serviceable;worn;cracked;warped;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,src:matcult-catalog-v1,C,candidate,
tl_potter_paddle,лопатка и стек гончара,potter paddle and rib,pottery,cat_item_object_potter_paddle_v1,proposed_new,,,CRF0092;CRF0095,mt_wood_generic;mt_bone,wood,hand,M1,50–300 г,rule:woodxhand,,,,pc_pottery_wheel,nov_occ_potter,ws_potter,ordinary_workshop,serviceable;worn;cracked;warped;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,src:matcult-catalog-v1,B,candidate,
tl_pottery_stamp,штамп для орнамента керамики,pottery stamp,pottery,cat_item_object_pottery_stamp_v1,proposed_new,,,CRF0067,mt_wood_generic;mt_bone,wood,tiny,M0,<50 г,rule:woodxtiny,,,,pc_pottery_wheel,nov_occ_potter,ws_potter,ordinary_workshop,serviceable;worn;cracked;warped;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,src:matcult-catalog-v1,C,candidate,
tl_kiln,гончарный горн (печь для обжига),pottery kiln,pottery,cat_item_object_kiln_v1,proposed_new,,,CRF0093;CRF0064,mt_clay;mt_fieldstone,clay,fixture,M5,>25 кг,rule:clayxfixture,,,,pc_pottery_wheel;pc_lime_burning,nov_occ_potter,ws_potter;ws_lime_kiln,town_courtyard,intact;chipped;cracked;broken,wear_pattern,,claim:mb14-practical-clay-firing-needs-gradual-observation;src:matcult-catalog-v1,C,candidate,Устройство горна для Новгорода XIII в. не выписано; двухъярусный горн — реконструкция (matcult C).
tl_drying_shelf,полка для сушки сосудов,drying shelf,pottery,cat_item_object_drying_shelf_v1,proposed_new,,,CRF0063,mt_wood_generic,wood,fixture,M4,5–25 кг,rule:woodxfixture,,,,pc_pottery_wheel,nov_occ_potter,ws_potter,ordinary_workshop,serviceable;worn;cracked;warped;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,src:matcult-catalog-v1,C,candidate,
tl_bone_knife,нож костореза,bone carver knife,bone,cat_item_object_carving_knife_v1,existing_v5,item_tpl_nov_carving_knife_v1,wk:material_culture:cutting-tool,CRF0114,mt_iron;mt_steel;mt_wood_generic,metal,hand,M1,50–300 г,rule:metalxhand,,100,M1,pc_bone_comb;pc_bone_skate,,ws_bone_carver,ordinary_workshop,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern;weld_seam_visible,,src:matcult-catalog-v1;src:smirnova1998-bone,A,candidate,
tl_bone_rivets,бронзовые или железные заклёпки для гребней,comb rivets,bone,cat_item_object_bone_rivets_v1,proposed_new,,,,mt_bronze;mt_iron,metal,tiny,M0,<50 г,rule:metalxtiny,,,,pc_bone_comb,,ws_bone_carver,ordinary_workshop,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,src:kyy1985-applied,C,candidate,Составные гребни на заклёпках — известная форма; новгородская выборка не сделана.
tl_glass_tongs,щипцы стекольщика и металлический стержень,glassworker tongs and rod,glass,cat_item_object_glass_tongs_v1,proposed_new,,,CRF0043;CRF0041,mt_iron,metal,hand,M1,50–300 г,rule:metalxhand,,,,pc_glass_bracelet,,ws_glass_bead,ordinary_workshop,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,src:matcult-catalog-v1;src:shchapova1972-glass,C,candidate,
tl_glass_crucible,стекольный тигель,glass crucible,glass,cat_item_object_glass_crucible_v1,proposed_new,,,CRF0042,mt_clay_refractory,clay,hand,M1,50–300 г,rule:clayxhand,,,,pc_glass_bracelet,,ws_glass_bead,ordinary_workshop,intact;chipped;cracked;broken,wear_pattern,,src:matcult-catalog-v1;src:shchapova1972-glass,C,candidate,Редкая мастерская; массовое стекловарение не утверждать.
tl_tar_pots,корчаги для сухой перегонки (дегтярные горшки),tar distillation pots,tar_charcoal,cat_item_object_cooking_pot_v1,existing_v5,item_tpl_nov_cooking_pot_v1,wk:material_culture:ceramic-pot,,mt_ceramic,clay,long_hand,M3,"1,5–5 кг",rule:clayxlong_hand,,2500,M3,pc_birch_tar,nov_occ_pitch_tar_worker,ws_tar_kiln,forest_edge,intact;chipped;cracked;broken,wear_pattern,,claim:household-tar-pot;claim:place-thermal-birch-tar-method-choice-can-change-oxygen-and-collection-conditions;src:talanin-degot,C,candidate,Способ получения в 1230 г. не засвидетельствован; горшки с дёгтем — да.
tl_charcoal_pit,угольная яма,charcoal pit,tar_charcoal,cat_item_object_charcoal_pit_v1,proposed_new,,,,mt_fieldstone;mt_firewood,stone,fixture,M5,>25 кг,rule:stonexfixture,,,,pc_pine_pitch;pc_charcoal_pit,nov_occ_pitch_tar_worker;nov_occ_forest_worker,ws_bloomery_site;ws_tar_kiln;ws_charcoal_pit,forest_edge,serviceable;chipped;worn_groove;broken,wear_pattern,,claim:fuel-pit-charcoal-burning-form;claim:fuel-pit-charcoal-burning-air-control,B,candidate,Колчин: вероятная форма древнерусского углежжения.
tl_firesteel,кресало,firesteel,general,cat_item_object_firesteel_v1,existing_v5,item_tpl_nov_firesteel_v1,wk:material_culture:firesteel,,mt_iron;mt_steel,metal,tiny,M0,<50 г,rule:metalxtiny,,70,M1,wk:craft_technology:fire-ignition,nov_occ_princely_service_agent;nov_occ_druzhina_warrior;nov_occ_junior_retainer;nov_occ_gate_guard;nov_occ_market_guard;nov_occ_crossing_guard;nov_occ_tysyatsky_public_order;nov_occ_route_guide;nov_occ_ponomar;nov_occ_pilgrim_traveler;nov_occ_messenger_runner,,town_courtyard,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern;weld_seam_visible,,claim:casting-firesteel-steel;claim:ha-firesteel-ignition,A,candidate,
tl_flint_tinder,кремень и трут,flint and tinder,general,cat_item_object_striking_flint_v1,existing_v5,item_tpl_nov_striking_flint_v1,,,mt_flint,stone,tiny,M0,<50 г,rule:stonextiny,,50,M1,wk:craft_technology:fire-ignition,,,town_courtyard,serviceable;chipped;worn_groove;broken,wear_pattern,,claim:ha-firesteel-ignition;src:v5-item-templates,B,candidate,
tl_stylus,писало,stylus (bone/metal),writing_seals,cat_item_object_stylus_v1,existing_v5,item_tpl_nov_stylus_v1,,,mt_iron;mt_bronze;mt_bone,metal,hand,M1,50–300 г,rule:metalxhand,,40,M0,pc_birchbark_letter;pc_ownership_mark,nov_occ_court_clerk_service;nov_occ_bishop_court_service;nov_occ_merchant_clerk;nov_occ_debt_account_keeper;nov_occ_monastery_steward;nov_occ_parish_priest_service;nov_occ_deacon_service;nov_occ_monk_service;nov_occ_scribe,ws_scribe_place,dwelling_interior,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,claim:residual-v1-birch-writing-used-styli-on-inner-surface;src:v5-item-templates,A,candidate,"Писала для бересты массово известны (WK claim, direct/high). Прежняя ссылка на src:kyy1985-applied не подтверждала факт (прочитаны только страницы КЯЯ о печатях и о стекле)."
tl_wax_tablet,цера (восковая дощечка),wax writing tablet,writing_seals,cat_item_object_wax_tablet_v1,proposed_new,,,,mt_wood_generic;mt_beeswax,wood,hand,M1,50–300 г,rule:woodxhand,,,,,nov_occ_court_clerk_service;nov_occ_bishop_court_service;nov_occ_monk_service;nov_occ_scribe,ws_scribe_place,dwelling_interior,serviceable;worn;cracked;warped;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,claim:candidate-novgorod-psalter-eleventh-century,B,candidate,"Новгородская псалтирь XI в. на церах (WK claim, direct/high — для самой находки); для 1230 г. это вывод по продолжению класса, поэтому B. Прежняя ссылка src:kyy1985-applied не подтверждала факт."
