row_id,season_period,wx_state_id,slot_fraction,frequency_class,class_weight,persistence_days,entry_weight,rule,basis,source_refs,confidence,status
wxc_summer__windy_precip,summer,wx_windy_precip,0.006,rare,1,1,1,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction",blizzard days 0/30 x 0.33 + half of windy (нет),"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород|Климат Новгородской области — trasa.ru: http://trasa.ru/region/novgorodskaya_clim.html",C,candidate
wxc_autumn__clear,autumn,wx_clear,0.043,rare,1,1,4,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction",clear days 1.3/30 (Oct–Dec ~1),"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wxc_autumn__partly_cloudy,autumn,wx_partly_cloudy,0.391,ubiquitous,8,3,13,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction",remainder 1 - Σ(other states),"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",C,candidate
wxc_autumn__overcast,autumn,wx_overcast,0.213,common,4,2,11,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction","overcast days 16.5/30 minus precipitation, fog, windy-precip shares (Sep интерп., Oct–Nov по сводке)","Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wxc_autumn__fog,autumn,wx_fog,0.056,rare,1,1,6,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction","fog days 5.1/30 x occupancy 0.33 (Sep остаток, Oct–Nov 4–5)","Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wxc_autumn__precip_light,autumn,wx_precip_light,0.143,contextual,2,1,14,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction","precip days 16.3/30 x 0.5 x (1 - steady share 45%); steady share = mm_per_precip_day/(mm_per_precip_day+4), mm/day=3.3","Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wxc_autumn__precip_steady,autumn,wx_precip_steady,0.117,contextual,2,1,12,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction",precip slots x steady share 45%,"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wxc_autumn__convective_storm,autumn,wx_convective_storm,0.003,rare,1,1,1,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction","thunder days 0.4/30 x 0.25 (сентябрь, остаток)","Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wxc_autumn__windy_dry,autumn,wx_windy_dry,0.013,rare,1,1,1,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction",windy days 3/30 x 0.25 x 0.5 (осенние штормы — C),"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород|Климат Новгородской области — trasa.ru: http://trasa.ru/region/novgorodskaya_clim.html",C,candidate
wxc_autumn__windy_precip,autumn,wx_windy_precip,0.02,rare,1,1,2,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction",blizzard days 0.7/30 x 0.33 + half of windy (ноябрь (C)),"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород|Климат Новгородской области — trasa.ru: http://trasa.ru/region/novgorodskaya_clim.html",C,candidate
