npm_id,member_ref,member_kind,season_period,channel,clear_text,partial_text,loudness,render_condition,source_refs,confidence,status
npm_sphagnum__autumn__acoustic,Sphagnum (peat moss),flora,autumn,acoustic,Мох хлюпает под ногой.,Доносится хлюпанье.,1,member selected; audible within propagation limits,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|world_db.world_base.landscape_templates.dominant_vegetation (draft)|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_alluvial_sand_and_silt__winter__visual,alluvial sand and silt,material,winter,visual,Под снегом у воды смёрзшийся песок и ил.,Различим мёрзлый грунт.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_alluvial_sand_and_silt__spring__visual,alluvial sand and silt,material,spring,visual,У воды свежий нанос песка и ила.,Различимы песок и ил.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_alluvial_sand_and_silt__summer__visual,alluvial sand and silt,material,summer,visual,У воды полосы светлого песка и серого ила.,Различимы песок и ил.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_alluvial_sand_and_silt__autumn__visual,alluvial sand and silt,material,autumn,visual,Песок и ил у воды размокли.,Различимы песок и ил.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_alluvial_silt_and_clay__winter__visual,alluvial silt and clay,material,winter,visual,Глинистый нанос смёрзся буграми.,Различим мёрзлый грунт.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_alluvial_silt_and_clay__spring__visual,alluvial silt and clay,material,spring,visual,Свежий глинистый нанос скользок.,Различимы ил и глина.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_alluvial_silt_and_clay__summer__visual,alluvial silt and clay,material,summer,visual,Подсохший глинистый нанос потрескался.,Различимы ил и глина.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_alluvial_silt_and_clay__autumn__visual,alluvial silt and clay,material,autumn,visual,Глина размокла и липнет.,Различимы ил и глина.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_decomposer_fungal_guild__winter__visual,decomposer fungal guild (unidentified),fungi_guild,winter,visual,На гнилых пнях под снегом темнеют пятна трухи.,Различима труха.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|wk:claim:population-material-wood-decay|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_decomposer_fungal_guild__spring__visual,decomposer fungal guild (unidentified),fungi_guild,spring,visual,"Гнилая древесина сырая, покрыта белёсым налётом.",Различима гниль.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|wk:claim:population-material-wood-decay|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_decomposer_fungal_guild__summer__visual,decomposer fungal guild (unidentified),fungi_guild,summer,visual,На валежине проступают трутовые наросты и белёсые нити гнили.,Различима гниль.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|wk:claim:population-material-wood-decay|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_decomposer_fungal_guild__autumn__visual,decomposer fungal guild (unidentified),fungi_guild,autumn,visual,От прелых пней и листьев тянет грибной сыростью.,Различим запах прели.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|wk:claim:population-material-wood-decay|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_firm_mineral_soil__winter__visual,firm mineral soil,material,winter,visual,Твёрдая мёрзлая земля.,Различим твёрдый грунт.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_firm_mineral_soil__spring__visual,firm mineral soil,material,spring,visual,Земля оттаивает сверху.,Различим плотный грунт.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_firm_mineral_soil__summer__visual,firm mineral soil,material,summer,visual,Плотная сухая земля.,Различим плотный грунт.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_firm_mineral_soil__autumn__visual,firm mineral soil,material,autumn,visual,Плотная земля сверху размокла.,Различим плотный грунт.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_grass_and_shrub_cover__winter__visual,grass and shrub cover (unidentified),flora_guild,winter,visual,Над снегом торчат сухие травы и прутья кустов.,Различимы сухие травы.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_grass_and_shrub_cover__spring__visual,grass and shrub cover (unidentified),flora_guild,spring,visual,"Пробивается молодая трава, на кустах набухли почки.",Различима трава.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_grass_and_shrub_cover__summer__visual,grass and shrub cover (unidentified),flora_guild,summer,visual,"Густая трава стоит по колено, среди неё низкие кусты.",Различима трава.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_grass_and_shrub_cover__summer__acoustic,grass and shrub cover (unidentified),flora_guild,summer,acoustic,Трава шелестит на ветру.,Доносится шелест.,1,member selected; audible within propagation limits,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_grass_and_shrub_cover__autumn__visual,grass and shrub cover (unidentified),flora_guild,autumn,visual,"Трава побурела, кусты облетели.",Различима трава.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_horsetail_and_wetland_herb_guild__winter__visual,horsetail and wetland herb guild (unidentified),flora_guild,winter,visual,Под снегом не видно болотных трав.,Различим снег.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_horsetail_and_wetland_herb_guild__spring__visual,horsetail and wetland herb guild (unidentified),flora_guild,spring,visual,Из мокрой земли поднимаются членистые побеги хвоща.,Различимы побеги.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_horsetail_and_wetland_herb_guild__summer__visual,horsetail and wetland herb guild (unidentified),flora_guild,summer,visual,Сырое место заросло хвощом и болотными травами.,Различимы травы.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_horsetail_and_wetland_herb_guild__autumn__visual,horsetail and wetland herb guild (unidentified),flora_guild,autumn,visual,Хвощ и болотные травы побурели.,Различимы травы.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_root_bound_alluvial_mud_and_leaf_litter__winter__visual,root-bound alluvial mud and leaf litter,material,winter,visual,Под снегом корни и смёрзшаяся листва.,Различима мёрзлая подстилка.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_root_bound_alluvial_mud_and_leaf_litter__spring__visual,root-bound alluvial mud and leaf litter,material,spring,visual,Нанос и прелая листва вокруг корней.,Различимы ил и листва.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_root_bound_alluvial_mud_and_leaf_litter__summer__visual,root-bound alluvial mud and leaf litter,material,summer,visual,Корни в иле под слоем листвы.,Различимы ил и листовая подстилка.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_root_bound_alluvial_mud_and_leaf_litter__autumn__visual,root-bound alluvial mud and leaf litter,material,autumn,visual,Свежий опад поверх ила и корней.,Различимы ил и листва.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_sandy_mineral_ground__winter__visual,sandy mineral ground,material,winter,visual,Песок под хвоей и снегом смёрзся.,Различим песок.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_sandy_mineral_ground__spring__visual,sandy mineral ground,material,spring,visual,Светлый песок быстро просыхает.,Различим песок.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_sandy_mineral_ground__summer__visual,sandy mineral ground,material,summer,visual,Сухой светлый песок осыпается под ногой.,Различим песок.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_sandy_mineral_ground__autumn__visual,sandy mineral ground,material,autumn,visual,Мокрый песок плотный и тёмный.,Различим песок.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_waterlogged_forest_soil__winter__visual,waterlogged forest soil,material,winter,visual,Сырая лесная земля смёрзлась кочками.,Различим мёрзлый грунт.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_waterlogged_forest_soil__spring__visual,waterlogged forest soil,material,spring,visual,Лесная земля насквозь мокрая.,Различим влажный грунт.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_waterlogged_forest_soil__summer__visual,waterlogged forest soil,material,summer,visual,Под ногой сырая чёрная лесная земля.,Различим влажный грунт.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_waterlogged_forest_soil__autumn__visual,waterlogged forest soil,material,autumn,visual,Лесная земля налита водой.,Различим влажный грунт.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_waterlogged_organic_and_mineral_sediment__winter__visual,waterlogged organic and mineral sediment,material,winter,visual,Ил и прель подо льдом.,Различим лёд.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_waterlogged_organic_and_mineral_sediment__spring__visual,waterlogged organic and mineral sediment,material,spring,visual,Вода стоит над илом и прелью.,Различим влажный нанос.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_waterlogged_organic_and_mineral_sediment__summer__visual,waterlogged organic and mineral sediment,material,summer,visual,Тёмный ил с гниющими стеблями.,Различим влажный нанос.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_waterlogged_organic_and_mineral_sediment__autumn__visual,waterlogged organic and mineral sediment,material,autumn,visual,Ил набух и пахнет тиной.,Различим влажный нанос.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_wet_edge_herb_and_shrub_guild__winter__visual,wet-edge herb and shrub guild (unidentified),flora_guild,winter,visual,По краю из снега торчат сухие травы и голые прутья.,Различимы сухие травы.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_wet_edge_herb_and_shrub_guild__spring__visual,wet-edge herb and shrub guild (unidentified),flora_guild,spring,visual,По сырому краю зеленеет молодая трава.,Различима трава.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_wet_edge_herb_and_shrub_guild__summer__visual,wet-edge herb and shrub guild (unidentified),flora_guild,summer,visual,Сырой край зарос травой и кустами.,Различима трава.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_wet_edge_herb_and_shrub_guild__autumn__visual,wet-edge herb and shrub guild (unidentified),flora_guild,autumn,visual,Трава и кусты по краю облетели и полегли.,Различима трава.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_wet_ground_grass_and_sedge_guild__winter__visual,wet-ground grass and sedge guild (unidentified),flora_guild,winter,visual,Из снега торчат жёсткие сухие листья осоки.,Различима сухая трава.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_wet_ground_grass_and_sedge_guild__spring__visual,wet-ground grass and sedge guild (unidentified),flora_guild,spring,visual,Осока пробивается ярко-зелёными ростками.,Различима трава.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_wet_ground_grass_and_sedge_guild__summer__visual,wet-ground grass and sedge guild (unidentified),flora_guild,summer,visual,Жёсткая сизая осока стоит по колено.,Различима трава.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_wet_ground_grass_and_sedge_guild__summer__acoustic,wet-ground grass and sedge guild (unidentified),flora_guild,summer,acoustic,Осока шуршит под ветром.,Доносится шорох.,1,member selected; audible within propagation limits,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_wet_ground_grass_and_sedge_guild__autumn__visual,wet-ground grass and sedge guild (unidentified),flora_guild,autumn,visual,Осока пожелтела и полегла.,Различима трава.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
